date,year,value,series_id
1925-01-01,1925,93.1,GDPA
1926-01-01,1926,97.0,GDPA
1927-01-01,1927,95.5,GDPA
1928-01-01,1928,97.4,GDPA
1929-01-01,1929,104.6,GDPA
1930-01-01,1930,92.2,GDPA
1931-01-01,1931,77.4,GDPA
1932-01-01,1932,59.5,GDPA
1933-01-01,1933,57.2,GDPA
1934-01-01,1934,66.8,GDPA
1935-01-01,1935,74.3,GDPA
1936-01-01,1936,84.9,GDPA
1937-01-01,1937,93.0,GDPA
1938-01-01,1938,87.4,GDPA
1939-01-01,1939,93.5,GDPA
1940-01-01,1940,102.9,GDPA
1941-01-01,1941,129.4,GDPA
1942-01-01,1942,166.0,GDPA
1943-01-01,1943,198.6,GDPA
1944-01-01,1944,219.8,GDPA
1945-01-01,1945,228.2,GDPA
1946-01-01,1946,227.8,GDPA
1947-01-01,1947,249.9,GDPA
1948-01-01,1948,274.8,GDPA
1949-01-01,1949,272.8,GDPA
1950-01-01,1950,300.2,GDPA
1951-01-01,1951,347.3,GDPA
1952-01-01,1952,367.7,GDPA
1953-01-01,1953,389.7,GDPA
1954-01-01,1954,391.1,GDPA
1955-01-01,1955,426.2,GDPA
1956-01-01,1956,450.1,GDPA
1957-01-01,1957,474.9,GDPA
1958-01-01,1958,482.0,GDPA
1959-01-01,1959,522.5,GDPA
1960-01-01,1960,543.3,GDPA
1961-01-01,1961,563.3,GDPA
1962-01-01,1962,605.1,GDPA
1963-01-01,1963,638.6,GDPA
1964-01-01,1964,685.8,GDPA
1965-01-01,1965,743.7,GDPA
1966-01-01,1966,815.0,GDPA
1967-01-01,1967,861.7,GDPA
1968-01-01,1968,942.5,GDPA
1969-01-01,1969,1019.9,GDPA
1970-01-01,1970,1075.9,GDPA
1971-01-01,1971,1167.8,GDPA
1972-01-01,1972,1282.4,GDPA
1973-01-01,1973,1428.5,GDPA
1974-01-01,1974,1548.8,GDPA
1975-01-01,1975,1688.9,GDPA
1976-01-01,1976,1877.6,GDPA
1977-01-01,1977,2086.0,GDPA
1978-01-01,1978,2356.6,GDPA
1979-01-01,1979,2632.1,GDPA
1980-01-01,1980,2862.5,GDPA
1981-01-01,1981,3211.0,GDPA
1982-01-01,1982,3345.0,GDPA
1983-01-01,1983,3638.1,GDPA
1984-01-01,1984,4040.7,GDPA
1985-01-01,1985,4346.7,GDPA
1986-01-01,1986,4590.2,GDPA
1987-01-01,1987,4870.2,GDPA
1988-01-01,1988,5252.6,GDPA
1989-01-01,1989,5657.7,GDPA
1990-01-01,1990,5979.6,GDPA
1991-01-01,1991,6174.0,GDPA
1992-01-01,1992,6539.3,GDPA
1993-01-01,1993,6878.7,GDPA
1994-01-01,1994,7308.8,GDPA
1995-01-01,1995,7664.1,GDPA
1996-01-01,1996,8100.2,GDPA
1997-01-01,1997,8608.5,GDPA
1998-01-01,1998,9089.2,GDPA
1999-01-01,1999,9660.6,GDPA
2000-01-01,2000,10252.3,GDPA
2001-01-01,2001,10581.9,GDPA
2002-01-01,2002,10936.4,GDPA
2003-01-01,2003,11458.2,GDPA
2004-01-01,2004,12213.7,GDPA
2005-01-01,2005,13036.6,GDPA
2006-01-01,2006,13814.6,GDPA
2007-01-01,2007,14451.9,GDPA
2008-01-01,2008,14712.8,GDPA
2009-01-01,2009,14448.9,GDPA
2010-01-01,2010,14992.1,GDPA
2011-01-01,2011,15542.6,GDPA
2012-01-01,2012,16197.0,GDPA
2013-01-01,2013,16785.0,GDPA
2014-01-01,2014,17527.3,GDPA
2015-01-01,2015,18224.8,GDPA
2016-01-01,2016,18715.0,GDPA
2017-01-01,2017,19543.0,GDPA
2018-01-01,2018,20612.4,GDPA
2019-01-01,2019,21433.2,GDPA
2020-01-01,2020,21060.5,GDPA
2021-01-01,2021,23315.1,GDPA
2022-01-01,2022,25462.7,GDPA
2023-01-01,2023,27360.9,GDPA
