year,VAcorp,NOScorp,Pcorpnipa,NMINT,KGCcorp,INVcorp,KTCcorp,Rcorp,Profshcorp,rcorp,VAcorpnipa,KNCcorpbea,Rcorpnipa,Profshcorpnipa,rcorpnipa,uK,uFRB,Rcorpn,Profshcorpn,rcorpn,IGCcorpbea,DEPCcorp,pIGcorpbea,GOSRcorp,ECcorp,WEQ2,VAcorp_check,Pcorp,rcorp_sectoral,exploit_rate,pKN,GVAcorp,Py,real_Y_A,real_K_A,Y_K_ratio_A,real_Y_B,real_K_B,Y_K_ratio_B,g_Y_pct_A,g_K_pct_A,g_Y_log_A,g_K_log_A,g_Y_pct_B,g_K_pct_B,g_Y_log_B,g_K_log_B
1947,118.6,24.9,22.5,2.3999999999999995,170.5828337097477,25.1924207661426,195.77525447589028,0.684669876212078,0.2099494097807757,0.1437460364054025,117.1,190.1,0.7346298619824341,0.1921434671221178,0.1411543287327478,0.885106384754181,,0.7735452912840868,0.229449284911671,0.1774894139319239,15.7,8.9,23.2917448596751,145.11579189808916,82.1,22.133173996175906,118.6,22.5,0.1410658307210031,0.3032886723507917,11.687301316453992,127.5,12.474580718518355,10.909276363098371,14.595570790118357,0.7474374603070872,10.909276363098371,170.5828337097477,0.06395295544017555,,,,,,,,
1948,136.0,32.1,29.6,2.5,191.68359280651973,28.798097438081573,220.48169024460137,0.694674106613144,0.2360294117647059,0.1639635207520729,134.1,208.1,0.70541820094687,0.2207307979120059,0.1557075223566544,0.923893213272095,,0.7518987006656971,0.229324174783279,0.1724285490507807,17.8,10.4,25.34578629720218,167.68073202247191,91.1,23.49115492957747,136.0,29.6,0.1557075223566544,0.3523600439077937,12.328702827178615,146.4,13.181947390287103,11.874728594906296,15.547750277827559,0.7637586392058722,11.874728594906296,191.68359280651973,0.06194963492202657,0.08849828344927224,0.06523756428586247,0.08479902470387435,0.06319783934322576,0.08849828344927224,0.12369802188112122,0.08479902470387435,0.11662505156808223
1949,132.4,30.2,27.6,2.699999999999999,200.7047696097666,28.522770172059257,229.22753978182587,0.6005033790022022,0.2280966767371601,0.1369728251198376,130.3,212.2,0.6261412782316195,0.2118188795088257,0.1326285439692455,0.869800388813019,,0.6903921712678062,0.22900357180577,0.1581022731670685,16.2,11.2,26.095421355358813,158.6485208888889,88.8,20.64184536082473,132.4,27.6,0.1326923076923077,0.3400900900900901,12.2771097593625,143.6,13.176480878140511,11.696563997115927,16.34788427762565,0.715478761562088,11.696563997115927,200.7047696097666,0.058277459075126804,-0.015003677462303688,0.05146300818448002,-0.015117371281285319,0.050182535498494385,-0.015003677462303688,0.04706285327379378,-0.015117371281285319,0.045988961866692435
1950,150.6,37.2,34.4,2.8000000000000007,230.20600652901385,35.69829666230825,265.9043031913221,0.6569891215660126,0.2470119521912351,0.1622841654864254,148.4,238.1,0.699340245051838,0.2318059299191374,0.1621112158341187,0.879007756710052,,0.7474213015195563,0.228358741382195,0.1706801876972479,17.8,12.0,26.736763049192643,184.01629213483145,98.7,21.08311044327573,150.6,34.4,0.1621112158341187,0.3768996960486322,13.416174233016012,162.6,13.301117355082765,12.119699489281814,17.158841449934165,0.7063238811690469,12.119699489281814,230.20600652901385,0.052647190540418484,0.036176050699181506,0.04960624619899123,0.03553706250761435,0.04841509021798274,0.036176050699181506,0.14698822044242865,0.03553706250761435,0.137139568209955
1951,172.9,42.5,39.1,3.5,255.84979414602253,42.236510818829736,298.0863049648523,0.6502339297442505,0.2458068247541931,0.1598319376178753,170.3,258.5,0.7152456950860984,0.2295948326482677,0.1642167156656866,0.925842940807343,,0.702315588405568,0.227251913197548,0.1596025611336269,21.7,13.6,29.409212027733457,190.75655596313365,114.6,24.431116460637604,172.9,39.1,0.1641477749790092,0.3708551483420593,14.108519660463656,186.5,14.203091859270112,13.218963044197292,18.134418089446417,0.7289433263860976,13.218963044197292,255.84979414602253,0.051666889505694744,0.0907005619972363,0.05685562410252332,0.08682020721531947,0.05529810730574969,0.0907005619972363,0.1113949544742947,0.08682020721531947,0.10561594206058977
1952,180.9,40.6,37.0,3.700000000000001,276.7328418152084,44.2476572792157,320.9804990944241,0.6068712214783908,0.2244333886124931,0.136202164687798,178.1,273.5,0.6889748549323017,0.2077484559236384,0.1431334622823984,0.910232961177826,,0.6667207707937863,0.225731729522999,0.1505000327001883,22.7,14.5,30.02754968157305,183.4981561409692,123.0,25.97801875,180.9,37.0,0.143244289585753,0.3300813008130081,14.471325701210484,195.4,14.512496446767104,13.502563900117,19.122839712747293,0.7060961710156565,13.502563900117,276.7328418152084,0.04879277721989172,0.021454092501166366,0.05450528483602701,0.0212271930039436,0.053071732622594237,0.021454092501166366,0.08162229615579508,0.0212271930039436,0.07846204014346281
1953,193.6,41.1,37.3,3.7999999999999976,296.53555848647704,46.10110690219687,342.6366653886739,0.6031519065681555,0.212293388429752,0.1280451619832189,190.8,287.0,0.6976234003656306,0.1954926624737945,0.136380255941499,0.924771666526794,,0.6522171130452558,0.224032313497744,0.1461177087383482,24.8,15.4,30.56986970529857,184.82250838709675,134.0,25.81271453590193,193.6,37.3,0.1365300146412884,0.3067164179104477,14.684464749597003,209.0,14.698357859751166,14.232728503484319,20.193828208455134,0.7048058622943564,14.232728503484319,296.53555848647704,0.04799670088851545,0.054075996882413824,0.05600572466200826,0.05266455082385013,0.05449360635082323,0.054075996882413824,0.07155896835870368,0.05266455082385013,0.06911456788310133
1954,190.4,40.3,36.4,4.000000000000001,311.23510269058767,46.03747911853146,357.2725818091191,0.5556906753806325,0.2116596638655462,0.117617301564283,187.4,295.3,0.6529616724738676,0.1942369263607257,0.1268292682926829,0.8767209649086,,0.6338284330163868,0.222374470965749,0.1409472624750687,24.1,16.2,30.75701356902445,183.69793892116184,132.2,26.224844602609725,190.4,36.4,0.1269619811649808,0.3048411497730711,14.704855179218828,206.6,14.84814029256773,14.049781346501863,21.16546534442793,0.6638068720847019,14.049781346501863,311.23510269058767,0.0451420203731626,-0.01285397644855435,0.04811554926301542,-0.012937303631078922,0.04699383675135982,-0.01285397644855435,0.04957093267039325,-0.012937303631078922,0.048381445103166776
1955,215.7,51.3,46.6,4.700000000000004,347.98339125729046,52.78384952113242,400.7672407784229,0.6037407038283239,0.2378303198887343,0.1435878447213399,212.4,325.0,0.7192685404673214,0.2193973634651601,0.1578056214019641,0.903114199638367,,0.6685098120150021,0.220861684636002,0.1476482032773304,26.6,17.1,31.109799769375808,219.86641028571427,144.6,25.34998326359831,215.7,46.6,0.1579661016949152,0.3547717842323651,15.68831476496418,232.8,15.058054358996786,14.839069937575387,22.18105618548794,0.6689974459955571,14.839069937575387,347.98339125729046,0.04264304076111419,0.05617799819141256,0.04798339297214538,0.054656729972998974,0.046867739372670414,0.05617799819141256,0.11807244185832033,0.054656729972998974,0.11160616857141559
1956,230.0,50.3,45.2,5.100000000000001,391.8473726280085,58.82817443841661,450.6755470664251,0.573899202822226,0.218695652173913,0.1255092604432955,226.4,360.7,0.6966153846153846,0.1996466431095406,0.1390769230769231,0.86929577589035,,0.6601886477987622,0.219490692507833,0.1449052634911601,32.2,19.2,33.505946535497614,207.42586670807447,158.2,27.890666666666657,230.0,45.2,0.1392054203880505,0.3179519595448799,16.764998238397013,249.2,15.572999803205564,14.86430218818963,23.372944455822086,0.6359619010041759,14.86430218818963,391.8473726280085,0.03793390801244627,0.0017003929977006393,0.05373451382869421,0.0016989489662426749,0.052340533977960124,0.0017003929977006393,0.12605193946824333,0.0016989489662426749,0.11871765606773277
