Period,Years,Real GVA (Gross) Growth (mean %/yr),Real Capital (Gross) Growth (mean %/yr),Real GVA (Gross) CAGR (%/yr),Real Capital (Gross) CAGR (%/yr),Real GVA (Gross) Growth (mean log diff %/yr),Real Capital (Gross) Growth (mean log diff %/yr),Real NVA (Net) Growth (mean %/yr),Real Capital (Net) Growth (mean %/yr),Output-Capital Ratio (Gross: GVA/KGC) (mean),Output-Capital Ratio (Net-Gross: NVA/KGC) (mean),Output-Capital Ratio (Net-Net: NVA/KNC) (mean)
Post-War Golden Age (1947-1973),1947-1973,4.59,5.6,,,4.41,5.42,4.55,4.1,0.652,0.602,0.677
Stagflation Crisis (1974-1982),1974-1982,2.41,5.81,2.35,5.76,2.33,5.6,1.98,4.99,0.472,0.425,0.576
Neoliberal Era (1983-2011),1983-2011,2.77,3.2,2.74,3.19,2.7,3.14,2.76,2.51,0.444,0.394,0.611
Full Period (1947-2011),1947-2011,3.46,4.54,,,3.34,4.41,3.38,3.5,0.534,0.485,0.634
