year,GVAcorp,KGCcorp,pKN,real_Y,real_K,Y_K_ratio,g_Y_pct,g_K_pct,g_Y_log,g_K_log
1947,126979.0,315847.225264881,14.862699213045,8543.468328320232,21251.00028853855,0.4020266440318125,0.05250276381429453,-0.03995665013112448,0.051170912522774614,-0.04077683942634991
1948,145429.0,342743.247669753,15.6602367706011,9286.513488289862,21886.211089297416,0.42430886965314263,0.0869723081323488,0.029890865942035605,0.08339613231534848,0.029452841231792704
1949,142222.0,348891.74695271,15.5745942395617,9131.666469919053,22401.33781889964,0.4076393358174714,-0.01667439761607714,0.02353658783151036,-0.01681498032973927,0.02326387323944168
1950,161233.0,389519.279225187,17.0016628649169,9483.366496621098,22910.657758598656,0.4139281637630797,0.03851433118594416,0.022736139413482404,0.037791164128984533,0.022481525463215135
1951,184769.0,421463.499426029,17.8784279282887,10334.745355750405,23573.856779608413,0.4383985807825069,0.08977601566201732,0.0289471837953168,0.0859721849067121,0.028536127833257652
1952,193757.0,444947.530104233,18.330248944092,10570.341984496048,24273.949113366707,0.4354603338389375,0.022796558660688637,0.029697827568201607,0.02254059980339207,0.0292653879067597
1953,207568.0,466559.56899484,18.6024166497529,11158.12014686582,25080.5891395319,0.44489067161817364,0.05560635249378776,0.033230687862034314,0.05411534352754899,0.03269048356194659
1954,204935.0,481245.755772063,18.628662756879,11001.058029477921,25833.617906596843,0.4258427166203733,-0.014076037479486714,0.030024365172428125,-0.014176044472334226,0.029582457468968926
1955,230740.0,528205.073656802,19.8431107242691,11628.217128163966,26619.065981967295,0.43683790919040266,0.05700898013677769,0.03040410670353233,0.05544320272408143,0.029951061903034315
1956,247151.0,584383.452927163,21.1780266880836,11670.161891856822,27593.85761167174,0.42292607492910084,0.0036071534639015024,0.03662005385030431,0.003600663288533923,0.03596547238057646
1957,257829.0,626775.638576991,21.9007471532186,11772.612057306396,28618.915792782813,0.41135772377076707,0.008778812701909722,0.03714805648187047,0.008740502971718911,0.03647469290561567
1958,252410.0,644090.235441595,21.897526873415,11526.872484693324,29413.834683932357,0.39188608382945767,-0.02087383593520864,0.02777599601973768,-0.021094774412722117,0.027397240584194904
1959,282163.0,674440.483544867,22.2619501446333,12674.675765906393,30295.660495289303,0.4183660484272059,0.09957629727727557,0.02997996761838917,0.09492492130841335,0.029539353138225977
1960,293425.0,692195.774760279,22.1031676255202,13275.246560642876,31316.58712849254,0.42390463897532293,0.04738352332072737,0.03369877456086434,0.046295171710996286,0.0331434131034154
1961,301705.0,714336.559883098,22.1049692023266,13648.741024631006,32315.655061302343,0.42235693501306215,0.028134653641419316,0.03190219702774777,0.027746144487560187,0.03140389224643059
1962,327173.0,741179.120029308,22.1639382220292,14761.50117016731,33440.76817957536,0.4414223109618398,0.08152840936231232,0.03481634879870743,0.07837523454706918,0.03422397019865997
1963,346958.0,769740.621985842,22.2152244141642,15618.02813834206,34649.239081963235,0.4507466412580492,0.05802438100982399,0.036137653773335776,0.05640337760331349,0.0355000054483785
1964,374055.0,814603.825487137,22.5905681499498,16558.0164924197,36059.466060349936,0.4591864023917557,0.060186109651703124,0.040700085074041326,0.05844446785558155,0.03989364540861473
1965,409642.0,870645.64380935,23.0161620889525,17798.015082480826,37827.57700630072,0.47050370367407657,0.07488811178735078,0.049033198189669225,0.07221657410443427,0.04786897637732679
1966,448031.0,944308.40998779,23.6743517321651,18924.742061312023,39887.40307109689,0.47445410340652694,0.06330632790283852,0.054453026807745886,0.061383230849557435,0.05302217448007163
1967,472129.0,1025301.81762072,24.4858475579192,19281.70952151927,41873.24188780704,0.4604780679074638,0.01886247427049481,0.04978611450764325,0.01868678367073784,0.04858644295076253
1968,519758.0,1129103.98055369,25.695171391873,20227.847173044804,43942.26305533844,0.46032784309654196,0.049069178771187216,0.04941153524905051,0.04790327459071797,0.04822956444281168
1969,563220.0,1245483.29542519,26.9934993944034,20865.023529212118,46140.11978318816,0.4522099991776484,0.03149995897815572,0.05001692163832949,0.03101401376005164,0.04880627988560171
1970,579800.0,1374636.5005688,28.5350571835232,20318.865887354517,48173.60244725729,0.4217842315114499,-0.02617575010605433,0.04407189824440083,-0.026524433208468423,0.0431283551393431
1971,627237.0,1511879.74117744,30.1834580801292,20780.819690535445,50089.67949145502,0.414872283103359,0.022735215919133855,0.03977441891117728,0.02248062249838334,0.039003784732914326
1972,693991.0,1646230.33042402,31.5157040859538,22020.482173181215,52235.23884899423,0.42156373089131977,0.05965416673194901,0.042834359878570094,0.05794259709027294,0.041942352168607755
1973,761592.0,1856854.37391454,33.9733372339349,22417.34436495893,54656.225295988486,0.41015171178687787,0.018022411528347604,0.04634776255150341,0.017861933139778685,0.045305779365660825
1974,808330.0,2262510.49956558,39.76601668757,20327.155378694657,56895.57788353471,0.35727127019088123,-0.09323981254137748,0.04097159244750448,-0.09787726574728062,0.040154500545314775
1975,890083.0,2525590.16063136,42.8936057892028,20750.948390168964,58880.341583852176,0.3524257474053084,0.020848613767103563,0.03488432272153519,0.02063425567888899,0.03428965498466496
1976,1007054.0,2792839.85388111,45.8031879068296,21986.548229972454,60974.79196343617,0.36058422705495735,0.05954425872838032,0.035571301443644954,0.05783887107543073,0.03495325650242087
1977,1141226.0,3120268.82943154,49.2114497815667,23190.253590689234,63405.34252255071,0.3657460502234713,0.054747354979344465,0.03986156378478567,0.053301264296335304,0.03908759254772676
1978,1292589.0,3545145.68101917,53.5126871787804,24154.813898274115,66248.69480344356,0.3646081476765723,0.04159334885290544,0.04484404890457916,0.04075160694189783,0.043867638782039364
1979,1401270.0,4088100.68955226,58.9292538153787,23778.85191606333,69373.02655078577,0.3427679762343307,-0.015564681383765433,0.04716065360399835,-0.01568708279085307,0.04608236195503501
1980,1476974.0,4703323.79773905,64.9706739908573,22732.933326316426,72391.48847987791,0.31402770966141025,-0.04398524341876886,0.043510598847556814,-0.04498193029543884,0.04259060450084107
1981,1600448.0,5340164.10852483,70.6427312387615,22655.52268344118,75593.96437371457,0.2997001529307137,-0.003405220160727418,0.04423829321767325,-0.003411031118377039,0.04328771362382966
1982,1652169.0,5745520.32375649,73.0565722709253,22614.926332336592,78644.81107120139,0.28755776794812415,-0.001791896469211074,0.04035833710750136,-0.0017935038361329703,0.03956520871892799
1983,1846753.0,5997273.73868859,73.48644239007,25130.526665004894,81610.61474244103,0.3079320838878075,0.11123628243136485,0.03771137130146496,0.10547316350104907,0.037017683747205155
1984,2056840.0,6405007.37751903,75.0922333956151,27390.84865359866,85295.20414947522,0.3211299970112937,0.08994327969024773,0.04514840892526739,0.08612565790565796,0.04415889344346091
1985,2217893.0,6811777.32948235,76.334321261879,29054.99077395485,89236.10267147445,0.3255968145641874,0.06075540562477433,0.04620304929563246,0.05898130112763589,0.04516746658942239
1986,2331416.0,7208452.33812232,77.5979115370061,30044.829220541047,92894.92713582428,0.32342809394329636,0.034067759796829744,0.04100161655221446,0.03350030565753315,0.04018334251559885
1987,2485918.0,7682766.02602208,79.7637888179081,31165.996962294204,96318.97054891645,0.3235707024761677,0.03731649574452023,0.03685931534329945,0.03663708590754844,0.03619625499419854
1988,2656124.0,8267621.84812117,82.8204158654711,32070.884603072514,99825.89149939355,0.3212682012788972,0.029034451934044636,0.036409452161825895,0.028620937276901515,0.035762289851247075
1989,2714561.0,8857651.04484012,85.5126087118589,31744.570080266352,103582.9824194305,0.3064651097969504,-0.010174790213765994,0.037636437437273296,-0.010226907212786074,0.03694547044020169
1990,2873639.0,9456077.55512978,87.986298575685,32660.07374464244,107472.15996358512,0.3038933408959928,0.028839693278605694,0.03754649126056697,0.02843165587067631,0.03685878297229905
1991,3052127.0,9833315.01840622,88.5307456679748,34475.33370436842,111072.31667611869,0.31038637471564373,0.05558039990720354,0.03349850522920006,0.05409075774748473,0.03294965381953041
1992,3344066.0,10314905.5034835,89.9608664052434,37172.45212975283,114659.91731358306,0.32419744406486883,0.0782332797272578,0.032299683168810045,0.07532384956470395,0.03178901557161318
1993,3555697.0,10920069.8653809,92.1083572495852,38603.413481419055,118556.77586118362,0.32561119515108294,0.038495210019273474,0.033986231971047554,0.037772751920188696,0.033421460689122995
1994,3789858.0,11637810.9313223,94.7926289077977,39980.513713637956,122771.26465858535,0.32565041848204285,0.03567301717714,0.035548274375615696,0.035051473533277644,0.03493102015421634
1995,3942787.0,12395973.1860823,97.1618458499046,40579.58106406098,127580.66788100725,0.31806998456779517,0.014983983315318694,0.03917368804334109,0.014872832384337897,0.03842586661889591
1996,4225737.0,13100679.5186752,98.5809468066183,42865.656466958404,132892.61204169807,0.322558611862549,0.05633560877054178,0.041635964514978197,0.05480594612848577,0.040792520020266565
1997,4537144.0,13912956.4636841,100.309905309712,45231.2659053095,138699.72681887329,0.32610926454366124,0.0551865906958533,0.04369779996011447,0.05371761450839152,0.042769983918024224
1998,4764907.0,14732942.714479,101.62331924599,46887.92922091079,144976.00377346808,0.3234185520396562,0.03662650784679511,0.045250824198024064,0.03597169836123015,0.044256879771827684
1999,5043588.0,15662531.814252,103.194669799131,48874.50107469089,151776.55827320545,0.32201613760877573,0.042368513320783174,0.04690813874524746,0.04149554042522752,0.045841190451120895
2000,5235030.0,16810552.4027306,105.664320416963,49543.97074946394,159093.93385008597,0.31141332388040116,0.013697729082696064,0.04821150024833787,0.013604763177504253,0.0470853787513672
2001,5285861.0,17794059.8272688,107.452756495807,49192.418811575706,165598.91442117782,0.297057616491746,-0.007095756205451775,0.04088767191602338,-0.007121050810773966,0.04007387979158494
2002,5654783.0,18619672.1067493,109.093193259994,51834.425512904,170676.75397835654,0.3036993867335742,0.053707598958451674,0.030663483362360466,0.052314991288003654,0.03020275346467649
2003,5988768.0,19433584.5675427,110.657431268382,54119.88992836094,175619.3356812127,0.3081658959614807,0.04409163201563748,0.028958728049649496,0.043147255738794854,0.02854734725224617
2004,6303018.0,21262084.7155326,117.807716685682,53502.590299893745,180481.25635319043,0.29644402627158445,-0.011406150849240904,0.02768442696311757,-0.01147169990613861,0.02730814224334921
2005,6496176.0,23329120.9536023,125.675505843911,51690.07243200001,185629.81542781353,0.27845781300203304,-0.03387719842598602,0.02852683529943789,-0.03446432906653918,0.028127521456868365
2006,6574682.0,25307940.1697674,132.402820891292,49656.6610570788,191143.5118934983,0.259787321919389,-0.03933852825600548,0.029702644766292474,-0.04013319872789012,0.029270066159634567
2007,6468892.0,26790855.3958417,135.94885808454,47583.275734300834,197065.6890636166,0.24145895696201097,-0.041754424857415984,0.03098288354886991,-0.04265119237618897,0.030512603101541913
2008,6754459.0,28669643.4539377,141.532260936142,47723.81190919819,202566.13767283183,0.23559619814777616,0.0029534783540774434,0.027911751839456933,0.002949125405669051,0.02752931883397558
2009,7030276.0,28241656.889128,136.843381122049,51374.614850606325,206379.414609316,0.24893284510890004,0.07649856110308906,0.018824848912522008,0.07371370117771825,0.018649854199225047
2010,7614863.0,29328328.1080044,139.370628097975,54637.50220488991,210434.06712199879,0.2596419056673647,0.06351166551363607,0.019646593728150474,0.061576324581197994,0.019456090522139036
2011,8029648.0,30971481.1951589,143.966209089223,55774.5324461772,215130.21278461485,0.2592594118893836,0.02081043597167831,0.022316470554615497,0.020596856882617587,0.022071101924268532
