"year","u_med","u_lower","u_upper","u_shaikh"
1947,0.0471572288887013,0.0471572288887013,0.0471572288887013,NA
1948,0.072577286483665,0.072577286483665,0.072577286483665,NA
1949,0.0699996005631969,0.0699996005631969,0.0699996005631969,NA
1950,0.111012339461259,0.111012339461259,0.111012339461259,NA
1951,0.121532772836498,0.121532772836498,0.121532772836498,NA
1952,0.107509298418118,0.107509298418118,0.107509298418118,NA
1953,0.106167292103795,0.106167292103795,0.106167292103795,NA
1954,0.106979461762691,0.106979461762691,0.106979461762691,NA
1955,0.1775204280219,0.1775204280219,0.1775204280219,NA
1956,0.165627350961425,0.165627350961425,0.165627350961425,NA
1957,0.162446723901314,0.162446723901314,0.162446723901314,NA
1958,0.1383191067576,0.1383191067576,0.1383191067576,NA
1959,0.20403256796067,0.20403256796067,0.20403256796067,NA
1960,0.191363785934085,0.191363785934085,0.191363785934085,NA
1961,0.202288897179637,0.202288897179637,0.202288897179637,NA
1962,0.254909339198555,0.254909339198555,0.254909339198555,NA
1963,0.298682283524682,0.298682283524682,0.298682283524682,NA
1964,0.356044405886763,0.356044405886763,0.356044405886763,NA
1965,0.455968626014793,0.455968626014793,0.455968626014793,NA
1966,0.498419373573265,0.498419373573265,0.498419373573265,NA
1967,0.479511628503742,0.479511628503742,0.479511628503742,NA
1968,0.530214459148238,0.530214459148238,0.530214459148238,NA
1969,0.491357663391244,0.491357663391244,0.491357663391244,NA
1970,0.401703598018728,0.401703598018728,0.401703598018728,NA
1971,0.493584861535371,0.493584861535371,0.493584861535371,NA
1972,0.580841346349983,0.580841346349983,0.580841346349983,NA
1973,0.646476536289447,0.646476536289447,0.646476536289447,NA
1974,0.597697009411054,0.597697009411054,0.597697009411054,NA
1975,0.739083316695979,0.739083316695979,0.739083316695979,NA
1976,0.86652468259635,0.86652468259635,0.86652468259635,NA
1977,1.0334135287431,1.0334135287431,1.0334135287431,NA
1978,1.19129970523049,1.19129970523049,1.19129970523049,NA
1979,1.12644043853042,1.12644043853042,1.12644043853042,NA
1980,0.954904988661538,0.954904988661538,0.954904988661538,NA
1981,1.17231834239362,1.17231834239362,1.17231834239362,NA
1982,1.01930698266789,1.01930698266789,1.01930698266789,NA
1983,1.26108662456331,1.26108662456331,1.26108662456331,NA
1984,1.72721824928668,1.72721824928668,1.72721824928668,NA
1985,1.78300243785146,1.78300243785146,1.78300243785146,NA
1986,1.60820571516753,1.60820571516753,1.60820571516753,NA
1987,1.87827854504868,1.87827854504868,1.87827854504868,NA
1988,2.31056285484293,2.31056285484293,2.31056285484293,NA
1989,2.38672469436099,2.38672469436099,2.38672469436099,NA
1990,2.29199342401978,2.29199342401978,2.29199342401978,NA
1991,2.2761109631758,2.2761109631758,2.2761109631758,NA
1992,2.28207587913204,2.28207587913204,2.28207587913204,NA
1993,2.45062105219682,2.45062105219682,2.45062105219682,NA
1994,3.09045187593685,3.09045187593685,3.09045187593685,NA
1995,3.84564078350206,3.84564078350206,3.84564078350206,NA
1996,4.53612788638713,4.53612788638713,4.53612788638713,NA
1997,5.19906068128151,5.19906068128151,5.19906068128151,NA
1998,4.70594731706415,4.70594731706415,4.70594731706415,NA
1999,5.02920880546298,5.02920880546298,5.02920880546298,NA
2000,4.70550047048479,4.70550047048479,4.70550047048479,NA
2001,4.36898888777949,4.36898888777949,4.36898888777949,NA
2002,4.92269850443542,4.92269850443542,4.92269850443542,NA
2003,5.56049714793266,5.56049714793266,5.56049714793266,NA
2004,8.19393062913383,8.19393062913383,8.19393062913383,NA
2005,10.8816989174006,10.8816989174006,10.8816989174006,NA
2006,12.812352155336,12.812352155336,12.812352155336,NA
2007,10.8001679381155,10.8001679381155,10.8001679381155,NA
2008,7.56283982244592,7.56283982244592,7.56283982244592,NA
2009,9.44419299966687,9.44419299966687,9.44419299966687,NA
2010,14.2852392146624,14.2852392146624,14.2852392146624,NA
2011,15.772770837677,15.772770837677,15.772770837677,NA
