"year","u_shaikh","u_hat","yp_hat","u_case1","u_case2","u_case3","u_case4","u_case5"
1947,0.885106384754181,0.557136306428326,7.32726858132685,NA,0.557136306428326,0.557136306428326,0.578817304482322,0.578817304482322
1948,0.923893213272095,0.57754588689379,7.37303376847456,NA,0.57754588689379,0.57754588689379,0.602959237493195,0.602959237493195
1949,0.869800388813019,0.543389927524761,7.40758204537579,NA,0.543389927524761,0.543389927524761,0.56833088619562,0.56833088619562
1950,0.879007756710052,0.556751560558335,7.5026752142929,NA,0.556751560558335,0.556751560558335,0.59311027464905,0.59311027464905
1951,0.925842940807343,0.581034276680409,7.53245901549411,NA,0.581034276680409,0.581034276680409,0.619295164531266,0.619295164531266
1952,0.910232961177826,0.570275047248162,7.57483055813934,NA,0.570275047248162,0.570275047248162,0.610236755816392,0.610236755816392
1953,0.924771666526794,0.57781891453691,7.6168129259816,NA,0.57781891453691,0.57781891453691,0.6206940030589,0.6206940030589
1954,0.8767209649086,0.546744959950326,7.64528510785656,NA,0.546744959950326,0.546744959950326,0.587403623544414,0.587403623544414
1955,0.903114199638367,0.567967853346409,7.71792576249927,NA,0.567967853346409,0.567967853346409,0.617719493023249,0.617719493023249
1956,0.86929577589035,0.605091880067279,7.68517541306555,NA,0.605091880067279,0.605091880067279,0.637805008490622,0.637805008490622
1957,0.843951225280762,0.590739917105125,7.71612391464543,NA,0.590739917105125,0.590739917105125,0.621533999411799,0.621533999411799
1958,0.798105180263519,0.544816831026708,7.74777745130214,NA,0.544816831026708,0.544816831026708,0.58943919913762,0.58943919913762
1959,0.861047804355621,0.595334091928903,7.76687084957218,NA,0.595334091928903,0.595334091928903,0.627166988841512,0.627166988841512
1960,0.880931198596954,0.610030926717559,7.7745256416681,NA,0.610030926717559,0.610030926717559,0.637393558823807,0.637393558823807
1961,0.882777214050293,0.59522180467513,7.81569156258437,NA,0.59522180467513,0.59522180467513,0.641187692309131,0.641187692309131
1962,0.939095973968506,0.637685816292701,7.82410973078206,NA,0.637685816292701,0.637685816292701,0.666926890730291,0.666926890730291
1963,0.97143566608429,0.660252472096319,7.84082057642436,NA,0.660252472096319,0.660252472096319,0.686580163295573,0.686580163295573
1964,1.00164115428925,0.664070491982764,7.89824931987302,NA,0.664070491982764,0.664070491982764,0.715119889687549,0.715119889687549
1965,1.0422728061676,0.697279741518508,7.92542788796442,NA,0.697279741518508,0.697279741518508,0.732768228847123,0.732768228847123
1966,1.06474781036377,0.713444420673774,7.96570908267939,NA,0.713444420673774,0.713444420673774,0.750293090431639,0.750293090431639
1967,1.04273521900177,0.682011679568617,8.03192696523498,NA,0.682011679568617,0.682011679568617,0.744544589916504,0.744544589916504
1968,1.05709373950958,0.70133502617337,8.06359042407925,NA,0.70133502617337,0.70133502617337,0.748087492237918,0.748087492237918
1969,1.04945170879364,0.700840043137073,8.09929755973986,NA,0.700840043137073,0.700840043137073,0.747159522957332,0.747159522957332
1970,0.984412431716919,0.645376661510154,8.16156834851801,NA,0.645376661510154,0.645376661510154,0.713455103207204,0.713455103207204
1971,0.973544180393219,0.645754863788779,8.18761205209814,NA,0.645754863788779,0.645754863788779,0.696435823236599,0.696435823236599
1972,1.00391101837158,0.667519701742826,8.21791351942024,NA,0.667519701742826,0.667519701742826,0.718459966096468,0.718459966096468
1973,1.00486552715302,0.65675416527882,8.29579734110613,NA,0.65675416527882,0.65675416527882,0.736132487839515,0.736132487839515
1974,0.884328484535217,0.649265706057493,8.29206396002796,NA,0.649265706057493,0.649265706057493,0.710924528193631,0.710924528193631
1975,0.853546917438507,0.636035658571517,8.29185725757169,NA,0.636035658571517,0.636035658571517,0.672766129589674,0.672766129589674
1976,0.879995822906494,0.64521495081937,8.3456160570041,NA,0.64521495081937,0.64521495081937,0.704167458134668,0.704167458134668
1977,0.901091992855072,0.654440394038424,8.39433463630568,NA,0.654440394038424,0.654440394038424,0.720232071311096,0.720232071311096
1978,0.911491215229034,0.679317900089109,8.42279429919444,NA,0.679317900089109,0.679317900089109,0.72788740000605,0.72788740000605
1979,0.88534152507782,0.6515182556632,8.48740204589271,NA,0.6515182556632,0.6515182556632,0.722430490899571,0.722430490899571
1980,0.834066033363342,0.676154370002357,8.43540910542325,NA,0.676154370002357,0.676154370002357,0.722815227257871,0.722815227257871
1981,0.843342185020447,0.676977622557186,8.46492517467356,NA,0.676977622557186,0.676977622557186,0.724012154343351,0.724012154343351
1982,0.820055425167084,0.652915952637381,8.47209738808088,NA,0.652915952637381,0.652915952637381,0.694325692294541,0.694325692294541
1983,0.858657002449036,0.677439909468911,8.47245873933872,NA,0.677439909468911,0.677439909468911,0.714992746799208,0.714992746799208
1984,0.924870848655701,0.723417613594139,8.49305100233433,NA,0.723417613594139,0.723417613594139,0.761990224646685,0.761990224646685
1985,0.935598075389862,0.732922300404995,8.51400873928931,NA,0.732922300404995,0.732922300404995,0.770532851455268,0.770532851455268
1986,0.929214417934418,0.731124353524521,8.53753106968418,NA,0.731124353524521,0.731124353524521,0.767718830053812,0.767718830053812
1987,0.948412120342255,0.747767871829825,8.56380332772222,NA,0.747767871829825,0.747767871829825,0.784842130323176,0.784842130323176
1988,0.971393048763275,0.766786943210669,8.58976354763607,NA,0.766786943210669,0.766786943210669,0.804373384212505,0.804373384212505
