"case_id","boundsF_stat","boundsF_p","boundsT_stat","boundsT_p","theta_hat","alpha_hat","F_pass"
1,NA,NA,NA,NA,NA,NA,FALSE
2,5.169,0.0158,NA,NA,29.3184,-2e-04,TRUE
3,0.057,0.9929,-0.002,0.971,29.3184,-2e-04,FALSE
4,1.563,0.8361,NA,NA,-1.9691,-0.1514,FALSE
5,2.217,0.7504,-1.425,0.878,-1.9691,-0.1514,FALSE
