"m","IC","p","d","h","IC_value","theta_hat","neg2logL","k_total"
2,"AIC",1,"d3","h2",-571.6,-0.5551,-595.6,12
2,"BIC",1,"d2","h1",-557.74,0.8917,-582.69,6
2,"HQ",1,"d2","h1",-565.59,0.8917,-582.69,6
2,"ICOMP",4,"d2","h0",-570.52,0.7757,-594.85,16
3,"AIC",1,"d2","h2",-366.95,1.7537,-396.95,15
3,"BIC",1,"d2","h2",-336.84,1.7537,-396.95,15
3,"HQ",1,"d2","h2",-355.31,1.7537,-396.95,15
3,"ICOMP",1,"d0","h2",-322.26,0.903,-373.28,12
