"IC","p","q","case","s","IC_value","theta_hat","neg2logL","k_total"
"AIC",1,1,4,"s1",-257.51,-1.8492,-269.51,6
"BIC",1,1,4,"s1",-244.55,-1.8492,-269.51,6
"HQ",1,1,4,"s1",-252.4,-1.8492,-269.51,6
"ICOMP",1,3,2,"s0",-246.32,0.4558,-265.1,6
"ICOMP_Misspec",1,3,2,"s0",-244.11,0.4558,-265.1,6
