"stage","theta"
"S0 (ARDL m0)","29.3184"
"S1 (F020 mean)","-1.2215"
"S1 (F020 range)","[-2.641, 0.9466]"
"S2 m=2 (Omega20 mean)","1.1091"
"S2 m=3 (Omega20 mean)","0.0592"
