"year","K_net_cc","K_net_chain","K_net_hist","D_cc","IG_cc","asset","K_gross_cc","p_K_raw","p_K","K_net_real","IG_real","D_real","K_gross_real"
1925,40,1,44,6.2,8.06,"ME",46.2,40,0.851063829787234,47,9.4705,7.285,54.285
1926,41.87,1.05,45.88,6.49,8.36,"ME",48.36,39.8761904761905,0.848429584599797,49.35,9.85349892524481,7.64942679722952,56.9994267972295
1927,43.82,1.1,47.83,6.79,8.74,"ME",50.61,39.8363636363636,0.847582205029013,51.7,10.3116841624829,8.01102236421725,59.7110223642173
1928,45.86,1.15,49.87,7.11,9.15,"ME",52.97,39.8782608695652,0.848473635522664,54.05,10.7840710859137,8.37975359790667,62.4297535979067
1929,48,1.2,52,7.44,8.93,"ME",55.44,40,0.851063829787234,56.4,10.49275,8.742,65.142
1930,44.38,1.19,50.54,6.88,3.26,"ME",51.26,37.2941176470588,0.793491864831039,55.93,4.10842271293375,8.67053627760252,64.6005362776025
1931,41.04,1.18,49.12,6.36,3.02,"ME",47.4,34.7796610169492,0.739992787594663,55.46,4.0811208576998,8.5946783625731,64.0546783625731
1932,37.95,1.17,47.74,5.88,2.79,"ME",43.83,32.4358974358974,0.69012547735952,54.99,4.04274308300395,8.52018972332016,63.5101897233202
1933,35.09,1.16,46.39,5.44,2.58,"ME",40.53,30.25,0.643617021276596,54.52,4.00859504132231,8.45223140495868,62.9722314049587
1934,32.44,1.15,45.09,5.03,2.39,"ME",37.47,28.2086956521739,0.600185013876041,54.05,3.98210542540074,8.38074907521578,62.4307490752158
1935,30,1.14,43.82,4.65,2.21,"ME",34.65,26.3157894736842,0.559910414333707,53.58,3.94706,8.3049,61.8849
1936,30.76,1.14,42.59,4.77,5.53,"ME",35.53,26.9824561403509,0.574094811496827,53.58,9.63255526657997,8.30873211963589,61.8887321196359
1937,31.54,1.13,41.39,4.89,5.67,"ME",36.43,27.9115044247788,0.593861796271889,53.11,9.547675967026,8.23423906150919,61.3442390615092
1938,32.34,1.12,40.23,5.01,5.81,"ME",37.35,28.875,0.61436170212766,52.64,9.4569696969697,8.15480519480519,60.7948051948052
1939,33.16,1.11,39.1,5.14,5.96,"ME",38.3,29.8738738738739,0.635614337741997,52.17,9.37675512665863,8.0866646562123,60.2566646562123
1940,34,1.1,38,5.27,6.11,"ME",39.27,30.9090909090909,0.657640232108317,51.7,9.29079411764706,8.0135,59.7135
1941,35.47,1.19,39.78,5.5,6.97,"ME",40.97,29.8067226890756,0.634185589129269,55.93,10.9904736396955,8.6725401747956,64.6025401747956
1942,37,1.3,41.63,5.73,7.26,"ME",42.73,28.4615384615385,0.60556464811784,61.1,11.9888108108108,9.46224324324324,70.5622432432432
1943,38.6,1.41,43.58,5.98,7.58,"ME",44.58,27.3758865248227,0.582465670740908,66.27,13.0136424870466,10.2666994818653,76.5366994818653
1944,40.26,1.53,45.62,6.24,7.91,"ME",46.5,26.3137254901961,0.559866499791406,71.91,14.1283681073025,11.1455141579732,83.0555141579732
1945,42,1.66,47.75,6.51,8.25,"ME",48.51,25.3012048192771,0.53832350679313,78.02,15.3253571428571,12.0931,90.1131
1946,46.78,1.8,49.98,7.25,12.03,"ME",54.03,25.9888888888889,0.552955082742317,84.6,21.7558358272766,13.1113723813596,97.7113723813596
1947,52.11,1.95,52.32,8.08,13.4,"ME",60.19,26.7230769230769,0.568576104746317,91.65,23.5676453655728,14.2109383995394,105.860938399539
1948,58.04,2.12,54.76,9,14.93,"ME",67.04,27.377358490566,0.582496989160979,99.64,25.6310337698139,15.4507236388697,115.09072363887
1949,64.64,2.3,57.32,10.02,16.63,"ME",74.66,28.104347826087,0.597964847363552,108.1,27.8109993811881,16.7568378712871,124.856837871287
