"year","K_net_cc","K_gross_cc","K_net_real","K_gross_real","K_net_hist","IG_cc","IG_real","D_cc","D_real","K_net_chain","asset","p_K"
1925,180,191.52,519.5,544.74,129,14.98,32.8255,11.52,25.24,4.5,"NR",0.346487006737247
1926,186.62,198.61,538.05,564.268338714328,134.4,18.61,44.4591984071101,11.99,26.218338714328,4.67,"NR",0.346845088746399
1927,193.49,205.97,556.6,583.805790854897,140.03,19.34,46.0699523525009,12.48,27.2057908548968,4.84,"NR",0.347628458498024
1928,200.61,213.6,576.5,604.731165552672,145.89,20.11,47.7860226206471,12.99,28.2311655526724,5.02,"NR",0.347979184735473
1929,208,221.52,596.4,625.662,152,16.23,35.13025,13.52,29.262,5.2,"NR",0.348759221998659
1930,195.81,208.44,589.18,618.098753275555,148.53,3.36,4.46056561724598,12.63,28.9187532755554,5.14,"NR",0.332343256729692
1931,184.36,196.17,581.96,610.575784977142,145.14,3.12,4.44848061209556,11.81,28.6157849771419,5.08,"NR",0.316791532064059
1932,173.6,184.63,576.09,604.39393465513,141.84,2.89,4.42689347002939,11.03,28.30393465513,5.03,"NR",0.301341804231978
1933,163.47,173.79,568.87,596.873781490642,138.6,2.68,4.40924155947156,10.32,28.0037814906418,4.97,"NR",0.287359150596797
1934,153.95,163.6,561.65,589.330493952181,135.44,2.49,4.39984882100604,9.65,27.6804939521806,4.91,"NR",0.274103089112437
1935,145,154.02,555.78,583.1685,132.36,2.31,4.38375565217391,9.02,27.3885,4.86,"NR",0.260894598582173
1936,145.76,154.9,549.03,576.165832119636,129.35,9.9,28.45965526658,9.14,27.1358321196359,4.81,"NR",0.265486403293081
1937,146.54,155.8,543.16,570.016139061509,126.41,10.04,28.169575967026,9.26,26.8561390615092,4.76,"NR",0.269791589955078
1938,147.34,156.72,537.29,563.861505194805,123.54,10.18,27.8736696969697,9.38,26.5715051948052,4.71,"NR",0.274228070501964
1939,148.16,157.67,530.07,556.316864656212,120.74,10.33,27.5369551266586,9.51,26.2468646562123,4.65,"NR",0.279510253362763
1940,149,158.64,524.2,550.1685,118,10.48,27.2457941176471,9.64,25.9685,4.6,"NR",0.284242655475009
1941,153.32,163.3,562.18,590.097342890112,123.09,14.3,42.4780637966747,9.98,27.9173428901117,4.94,"NR",0.272724038564161
1942,157.78,168.1,603.8,633.886460828936,128.39,14.78,45.7783786200507,10.32,30.0864608289362,5.32,"NR",0.261311692613448
1943,162.38,173.06,648.12,680.479889011676,133.93,15.28,49.2088678869497,10.68,32.3598890116762,5.72,"NR",0.250540023452447
1944,167.11,178.17,695.61,730.454639108702,139.71,15.8,52.9221639291394,11.06,34.8446391087024,6.15,"NR",0.240235189258349
1945,172,183.45,746.27,783.7566,145.73,16.34,56.9110686813187,11.45,37.4866,6.61,"NR",0.230479585136747
1946,189.87,202.56,801.45,841.814597624214,152.01,30.56,114.587134310749,12.69,40.3645976242137,7.11,"NR",0.236908104061389
1947,209.6,223.66,859.8,903.17810456882,158.58,33.78,122.970128062887,14.06,43.37810456882,7.64,"NR",0.243777622702954
1948,231.38,246.97,921.79,968.497032050085,165.41,37.37,132.063744050188,15.59,46.7070320500847,8.21,"NR",0.251011618698402
1949,255.43,272.7,989.65,1039.90564546078,172.55,41.33,141.937971444713,17.27,50.2556454607834,8.83,"NR",0.258101348961754
1950,282,301.14,1062.5,1116.6225,180,45.71,152.578611111111,19.14,54.1225,9.5,"NR",0.265411764705882
1951,303.9,324.45,1122.2,1179.43517964535,191.53,42.45,139.910762036622,20.55,57.2351796453524,10.04,"NR",0.270807342719658
1952,327.51,349.57,1185.07,1245.58019151064,203.81,45.67,147.816947046704,22.06,60.5101915106427,10.61,"NR",0.276363421570034
1953,352.97,376.64,1251.11,1315.03340496755,216.86,49.13,156.097616994103,23.67,63.9234049675487,11.21,"NR",0.282125472580349
1954,380.41,405.82,1320.32,1387.8735346799,230.75,52.85,164.803146850431,25.41,67.553534679896,11.84,"NR",0.288119546776539
1955,410,437.28,1395.4,1466.84685,245.55,56.87,174.227052258064,27.28,71.44685,12.52,"NR",0.293822559839473
1956,436.36,465.28,1472.77,1548.33130885215,261.28,55.28,166.830907528255,28.92,75.56130885215,13.23,"NR",0.296285231230946
1957,464.42,495.07,1555.54,1635.39890267381,278.03,58.71,176.220259097833,30.65,79.858902673811,13.98,"NR",0.298558699872713
1958,494.3,526.78,1641.95,1726.35302642411,295.85,62.36,186.120216270935,32.48,84.4030264241123,14.77,"NR",0.301044489783489
1959,526.11,560.53,1734.23,1823.42911361074,314.82,66.24,196.613945702682,34.42,89.1991136107353,15.61,"NR",0.303368065366186
1960,560,596.49,1831.5,1925.8425,335,70.38,207.786654740608,36.49,94.3425,16.5,"NR",0.305760305760306
1961,592.07,630.81,1927.83,2027.17432404703,353.9,70.81,201.126503034243,38.74,99.3443240470282,17.37,"NR",0.307117328810113
1962,625.99,667.1,2028.21,2132.66205245501,373.87,75.03,211.513177475232,41.11,104.452052455013,18.27,"NR",0.308641610089685
1963,661.88,705.52,2135.4,2245.42155864942,394.97,79.53,222.770198367527,43.64,110.021558649415,19.24,"NR",0.309955980144235
1964,699.84,746.16,2246.64,2362.34515509518,417.25,84.28,234.301065859169,46.32,115.70515509518,20.24,"NR",0.311505181070398
1965,740,789.18,2364.22,2486.00955,440.8,89.34,246.612501071429,49.18,121.78955,21.3,"NR",0.312999636243666
1966,793.64,846.47,2487.67,2615.81473349641,465.67,106.47,294.868412361336,52.83,128.144733496411,22.41,"NR",0.319029453263496
1967,851.15,907.89,2618.81,2753.68269670677,491.94,114.27,310.380285890595,56.74,134.872696706772,23.59,"NR",0.325014033091366
1968,912.86,973.81,2756.29,2898.25994353484,519.7,122.64,326.659548539212,60.95,141.969943534844,24.83,"NR",0.33119156547388
1969,979.02,1044.48,2900.11,3049.50744892759,549.02,131.63,343.73016792272,65.46,149.397448927589,26.13,"NR",0.337580298678326
1970,1050,1120.32,3052.5,3209.7375,580,141.3,361.80497322298,70.32,157.2375,27.5,"NR",0.343980343980344
1971,1156.14,1233.23,3204.66,3370.31053207293,629.62,183.23,464.895847769661,77.09,165.650532072931,28.94,"NR",0.360768381045103
1972,1273.06,1357.58,3365.45,3540.08598864885,683.51,201.44,488.839558576418,84.52,174.635988648853,30.47,"NR",0.37827333640375
1973,1401.85,1494.52,3533.93,3717.9455908141,742.04,221.45,513.860085355838,92.67,184.015590814104,32.07,"NR",0.396683012962905
1974,1543.72,1645.32,3711.51,3905.51115205127,805.6,243.46,540.34432316403,101.6,194.001152051269,33.77,"NR",0.415927749083257
1975,1700,1811.4,3897.25,4101.71025,874.64,267.68,568.070658653846,111.4,204.46025,35.55,"NR",0.436205016357688
1976,1923.18,2049.33,4092.97,4308.49019521097,949.62,349.33,689.255504599941,126.15,215.520195210972,37.43,"NR",0.469873954609978
1977,2175.66,2318.51,4297.32,4524.45753802191,1031.06,395.34,724.559276772997,142.85,227.137538021911,39.4,"NR",0.506282985674793
1978,2461.3,2623.08,4513.47,4752.96356210705,1119.52,447.42,761.952130958426,161.78,239.493562107047,41.49,"NR",0.545323221379559
1979,2784.44,2967.64,4739.6,4992.02815059072,1215.62,506.34,801.075805685171,183.2,252.428150590718,43.68,"NR",0.587484175879821
1980,3150,3357.45,4978,5244.15,1320,573.01,842.409733333333,207.45,266.15,46,"NR",0.632784250703094
1981,3397.82,3621.67,5230.56,5512.79482678844,1455.14,471.67,663.160704173759,223.85,282.234826788442,48.64,"NR",0.649609219662904
1982,3665.13,3906.69,5497.74,5797.23183966424,1604.2,508.87,699.892094296845,241.56,299.491839664238,51.46,"NR",0.666661209878968
1983,3953.47,4214.12,5777.72,6095.48468316685,1768.61,548.99,738.583630011454,260.65,317.764683166851,54.44,"NR",0.68426126568958
1984,4264.5,4545.76,6073.67,6410.92687138827,1949.96,592.29,779.667511630094,281.26,337.256871388271,57.61,"NR",0.702129025778483
1985,4600,4903.5,6387,6745.185,2150,639,823.45021948052,303.5,358.185,61,"NR",0.72021293251918
1986,4882.23,5206.47,6750.1,7130.60505161472,2342.36,606.47,759.699954188527,324.24,380.505051614719,64.7,"NR",0.723282618035288
1987,5182.17,5528.6,7136.39,7540.75430731263,2551.93,646.37,805.602385974629,346.43,404.364307312632,68.65,"NR",0.726161266410608
1988,5500.95,5871.13,7543.17,7972.84011125371,2780.25,688.96,854.134222394671,370.18,429.670111253709,72.83,"NR",0.729262365822327
1989,5839.8,6235.39,7973.61,8430.18705568512,3029,734.44,905.664572791462,395.59,456.57705568512,77.27,"NR",0.732390974727884
1990,6200,6622.8,8430,8915.31,3300,783,960.514956521739,422.8,485.31,82,"NR",0.735468564650059
1991,6439.34,6881.7,8678.51,9187.17950458312,3495.14,681.7,815.248027593835,442.36,508.669504583124,85.49,"NR",0.741986815709148
1992,6688.56,7151.44,8941.41,9475.1919591437,3701.98,712.1,851.413840132116,462.88,533.781959143701,89.23,"NR",0.748043093874456
1993,6948.09,7432.49,9215.12,9775.6814475681,3921.23,743.94,889.826649629328,484.4,560.561447568101,93.2,"NR",0.753988011007996
1994,7218.42,7725.41,9504.63,10093.9534177584,4153.63,777.31,930.964161719482,506.99,589.323417758384,97.45,"NR",0.75946354566143
1995,7500,8030.7,9810,10430.235,4400,812.28,975.0375,530.7,620.235,102,"NR",0.764525993883792
1996,7879.16,8438.82,10176.41,10829.4300396558,4633.41,938.82,1136.25082456313,559.66,653.020039655771,106.95,"NR",0.774257326503158
1997,8277.72,8867.94,10559.56,11247.4876017228,4879.41,988.78,1190.32474457921,590.22,687.927601722832,112.2,"NR",0.783907662819284
1998,8696.66,9319.12,10962.62,11687.7456766303,5138.68,1041.41,1247.71320449237,622.46,725.125676630315,117.78,"NR",0.793301236383273
1999,9137.06,9793.55,11385.18,12149.9000614881,5411.96,1096.88,1308.52132856929,656.49,764.72006148811,123.7,"NR",0.802539792958917
2000,9600,10292.4,11830,12636.975,5700,1155.34,1373.16050420168,692.4,806.975,130,"NR",0.811496196111581
2001,10099.57,10819.82,12140.62,12974.574111132,5970.93,1219.82,1443.27989358835,720.25,833.954111131983,134.1,"NR",0.831882556245068
2002,10627.6,11377.02,12460.46,13322.3491366722,6255.65,1277.45,1485.61763106328,749.42,861.889136672235,138.34,"NR",0.852905911980778
2003,11185.79,11965.77,12789.99,13680.8385221729,6554.88,1338.17,1529.36470039987,779.98,890.848522172868,142.73,"NR",0.874573787782477
2004,11775.95,12587.97,13130.15,14051.144577695,6869.39,1402.19,1574.72568692334,812.02,920.99457769501,147.29,"NR",0.896863326009223
