"year","K_net_cc","K_gross_cc","K_net_real","K_gross_real","K_net_hist","IG_cc","IG_real","D_cc","D_real","K_net_chain","asset","p_K"
2005,12400,13245.6,13480,14432.16,7200,1469.65,1621.47366304348,845.6,952.16,152,"NR",0.919881305637982
2006,13544.97,14456.79,13708.98,14678.3104233329,7526.34,2056.79,2113.67447805913,911.82,969.330423332884,154.7,"NR",0.988036309047063
2007,14800,15783.6,13942.07,14928.89055,7868.67,2238.63,2150.31593383333,983.6,986.82055,157.45,"NR",1.0615353387266
2008,14631.4,15604.65,14179.27,15183.8960543228,8227.81,804.65,842.68597984687,973.25,1004.62605432283,160.25,"NR",1.03188669092273
2009,14464.74,15427.77,14420.58,15443.3522807502,8604.61,796.37,858.101222553886,963.03,1022.77228075023,163.1,"NR",1.00306229014367
2010,14300,15252.9,14666,15707.22,9000,788.16,873.772794285714,952.9,1041.22,166,"NR",0.975044320196372
2011,14767.52,15755.4,14912.17,15970.2264159246,9334.23,1455.4,1536.11266316356,987.88,1058.05641592464,168.71,"NR",0.990299869167264
2012,15250.73,16274.9,15163.33,16238.5125157264,9680.88,1507.38,1561.22505098628,1024.17,1075.18251572641,171.47,"NR",1.00576390542183
2013,15750.17,16812.01,15418.13,16510.6965441766,10040.4,1561.28,1586.70758505616,1061.84,1092.56654417661,174.27,"NR",1.02153568558574
2014,16266.39,17367.32,15676.57,16786.7662209117,10413.28,1617.16,1612.550759193,1100.93,1110.19622091166,177.11,"NR",1.03762430174458
2015,16800,17941.5,15940,17068.125,10800,1675.11,1638.85631581395,1141.5,1128.125,180,"NR",1.05395232120452
2016,17485.93,18676.37,17028.09,18211.1404409657,11336.22,1876.37,1852.18900003502,1190.44,1183.05044096568,189.67,"NR",1.02688733733496
2017,18200,19441.5,18200,19441.5,11900,1955.57,1955.57,1241.5,1241.5,200,"NR",1
2018,18936.23,20224.56,18602.35,19880.317252556,12441.37,2024.56,2000.4004636641,1288.33,1277.96725255601,205.49,"NR",1.01794826997664
2019,19702.49,21039.42,19015.8,20331.4633030503,13007.65,2103.18,2053.53460889619,1336.93,1315.66330305029,211.16,"NR",1.03611154934318
2020,20500,21887.4,19439,20793.57,13600,2184.91,2108.23015022624,1387.4,1354.57,217,"NR",1.05458099696486
2021,22102.44,23587.47,19943.26,21339.9782745807,14504.73,3087.47,2832.56102902015,1485.03,1396.71827458072,223.46,"NR",1.10826615107059
2022,23832.34,25422.07,20462.67,21902.9440649624,15470.04,3319.63,2912.23972523912,1589.73,1440.27406496235,230.13,"NR",1.16467401370398
2023,25700,27402,20995,22480.185,16500,3569.66,2994.13536104218,1702,1485.185,237,"NR",1.22410097642296
