"year","K_net_cc","K_gross_cc","K_net_real","K_gross_real","K_net_hist","IG_cc","IG_real","D_cc","D_real","K_net_chain","asset","p_K"
1979,5691.26,5955.85,10086.2,10488.3311848343,2301.07,934.06,1587.79385221024,264.59,402.131184834324,69.14,"TOTAL_PRODUCTIVE",0.564262061033888
1980,6450,6749.85,10648,11072.91,2520,1058.59,1676.72446060606,299.85,424.91,73,"TOTAL_PRODUCTIVE",0.605747558226897
1981,6969.32,7293.17,11236.56,11686.9594634957,2797.25,843.17,1287.89232954125,323.85,450.399463495708,77.24,"TOTAL_PRODUCTIVE",0.620236086489103
1982,7530.46,7880.25,11858.64,12336.2382903424,3105.25,910.93,1361.53377922413,349.79,477.598290342446,81.75,"TOTAL_PRODUCTIVE",0.635018855450541
1983,8136.81,8514.59,12516.62,13023.0682128345,3447.43,984.13,1439.54624505111,377.78,506.448212834533,86.53,"TOTAL_PRODUCTIVE",0.650080453029652
1984,8792.01,9200.04,13211.57,13748.6876299509,3827.6,1063.23,1522.13359696177,408.03,537.117629950925,91.6,"TOTAL_PRODUCTIVE",0.665478062031992
1985,9500,9940.7,13947,14516.865,4250,1148.69,1609.82907662338,440.7,569.865,97,"TOTAL_PRODUCTIVE",0.681150068115007
1986,10082.98,10552.84,14757.4,15362.1079119714,4641.04,1052.84,1446.95054323818,469.86,604.707911971398,102.83,"TOTAL_PRODUCTIVE",0.68324908181658
1987,10702.12,11203.11,15618.29,16260.1496585386,5068.08,1120.13,1533.57726690652,500.99,641.85965853864,109.04,"TOTAL_PRODUCTIVE",0.685229945147644
1988,11359.7,11893.92,16526.97,17208.1788442599,5534.45,1191.8,1625.1884561476,534.22,681.208844259896,115.61,"TOTAL_PRODUCTIVE",0.687343173007514
1989,12058.14,12627.84,17490.81,18213.8632683078,6043.78,1268.14,1722.49505166525,569.7,723.053268307781,122.59,"TOTAL_PRODUCTIVE",0.689398604181282
1990,12800,13407.6,18510,19277.55,6600,1349.46,1825.65386561265,607.6,767.55,130,"TOTAL_PRODUCTIVE",0.69151809832523
1991,13263.58,13897.02,19035.71,19834.3830472487,6958.21,1097.02,1445.58229250832,633.44,798.673047248681,134.81,"TOTAL_PRODUCTIVE",0.696773590267975
1992,13744.65,14405.1,19586.31,20418.1483746656,7336.17,1141.52,1499.24188059078,660.45,831.838374665612,139.92,"TOTAL_PRODUCTIVE",0.701747802419139
1993,14243.91,14932.59,20154.02,21020.8662095277,7735.01,1187.95,1555.54770483628,688.68,866.846209527689,145.29,"TOTAL_PRODUCTIVE",0.706752796712517
1994,14762.12,15480.33,20743.83,21647.8456541941,8155.86,1236.41,1614.96759769917,718.21,904.015654194085,150.97,"TOTAL_PRODUCTIVE",0.711639075329869
1995,15300,16049.1,21360,22303.635,8600,1286.98,1677.95865384615,749.1,943.635,157,"TOTAL_PRODUCTIVE",0.716292134831461
1996,16156.93,16948.37,22119.11,23106.5291599502,9113.48,1648.37,2159.94957253511,791.44,987.419159950246,163.82,"TOTAL_PRODUCTIVE",0.730451179997749
1997,17062.53,17898.72,22907.56,23941.225023477,9658.23,1741.79,2248.76169199185,836.19,1033.66502347697,171,"TOTAL_PRODUCTIVE",0.744842750602858
1998,18019.57,18903.07,23730.62,24813.2476497267,10236.17,1840.55,2342.15898590611,883.5,1082.6276497267,178.58,"TOTAL_PRODUCTIVE",0.759338356941369
1999,19031.02,19964.54,24585.78,25720.1156873851,10849.37,1944.97,2440.04974125743,933.52,1134.33568738512,186.56,"TOTAL_PRODUCTIVE",0.774066147179386
2000,20100,21086.4,25480,26669.175,11500,2055.38,2543.21250420168,986.4,1189.175,195,"TOTAL_PRODUCTIVE",0.788854003139717
2001,21661.79,22705.78,26370.22,27602.6002528245,12231.68,2605.78,3148.97797025528,1043.99,1232.3802528245,201.86,"TOTAL_PRODUCTIVE",0.821448967812934
2002,23359.5,24465.41,27292.76,28569.9498087636,13013.75,2803.62,3263.56210839973,1105.91,1277.1898087636,208.97,"TOTAL_PRODUCTIVE",0.855886322966237
2003,25205.7,26378.24,28250.19,29573.9269010569,13849.83,3018.74,3382.58261078589,1172.54,1323.7369010569,216.35,"TOTAL_PRODUCTIVE",0.892231167294804
2004,27214.16,28458.45,29247.65,30619.9347029751,14743.85,3252.77,3506.73225698554,1244.29,1372.28470297508,224.04,"TOTAL_PRODUCTIVE",0.930473388460269
2005,29400,30721.6,30280,31702.56,15700,3507.44,3635.28966304348,1321.6,1422.56,232,"TOTAL_PRODUCTIVE",0.970937912813738
2006,31517.17,32932.21,30592.98,32035.0609202114,16217.54,3532.21,3499.75916885937,1415.04,1442.0809202114,235.1,"TOTAL_PRODUCTIVE",1.0302092179317
2007,33800,35315.6,30907.97,32369.83575,16755.38,3798.43,3543.12702962281,1515.6,1461.86575,238.24,"TOTAL_PRODUCTIVE",1.09356906972538
2008,32384.72,33855.06,31229.17,32711.1904116036,17314.42,804.75,842.782017658389,1470.34,1482.0204116036,241.44,"TOTAL_PRODUCTIVE",1.03700226422924
2009,31053.18,32480.69,31556.58,33059.1640822216,17895.61,796.47,858.20452340677,1427.51,1502.58408222161,244.7,"TOTAL_PRODUCTIVE",0.984047700986609
2010,29800,31186.9,31886,33409.38,18500,788.26,873.883891059908,1386.9,1523.38,248,"TOTAL_PRODUCTIVE",0.934579439252336
2011,30825.83,32263.34,32377.87,33924.9631010428,19116.9,2463.34,2632.39101736148,1437.51,1547.09310104281,251.88,"TOTAL_PRODUCTIVE",0.952064789932136
2012,31887.45,33377.45,32876.83,34447.9924748169,19754.63,2551.63,2673.06214237209,1490,1571.1624748169,255.82,"TOTAL_PRODUCTIVE",0.969906466043107
2013,32986.14,34530.59,33383.63,34979.2335043825,20413.89,2643.14,2714.35841236672,1544.45,1595.6035043825,259.82,"TOTAL_PRODUCTIVE",0.988093266070826
2014,34123.19,35724.11,33898.27,35518.6734127377,21095.43,2737.98,2756.2744831525,1600.92,1620.40341273774,263.88,"TOTAL_PRODUCTIVE",1.00663514686738
2015,35300,36959.5,34420,36065.565,21800,2836.31,2798.8009644626,1659.5,1645.565,268,"TOTAL_PRODUCTIVE",1.02556653108658
2016,37196.33,38938.66,36728.19,38462.8420415928,23062.26,3638.66,3613.55808584759,1742.33,1734.65204159276,283.48,"TOTAL_PRODUCTIVE",1.01274606780242
2017,39200,41029.5,39200,41029.5,24400,3833.17,3833.17,1829.5,1829.5,300,"TOTAL_PRODUCTIVE",1
2018,41340.27,43255.91,40148.35,42029.6022520472,25575.34,4055.91,3953.95290777686,1915.64,1881.25225204717,308.09,"TOTAL_PRODUCTIVE",1.02968789501935
2019,43604.43,45610.61,41120.4,43054.9881078988,26807.74,4270.34,4057.7319642573,2006.18,1934.58810789877,316.42,"TOTAL_PRODUCTIVE",1.06040870224998
2020,46000,48101.4,42119,44108.61,28100,4496.97,4164.60351493213,2101.4,1989.61,325,"TOTAL_PRODUCTIVE",1.09214368812175
2021,49607.34,51862.51,43303.66,45354.4718526704,30088.39,5862.51,5189.45177997725,2255.17,2050.81185267045,334.7,"TOTAL_PRODUCTIVE",1.14556921978419
2022,53499.78,55920.2,44522.37,46636.3170274087,32218.35,6312.86,5339.68934108059,2420.42,2113.94702740872,344.7,"TOTAL_PRODUCTIVE",1.20163818772451
2023,57700,60298,45775,47954.025,34500,6798.22,5494.25151104218,2598,2179.025,355,"TOTAL_PRODUCTIVE",1.2605133806663
