"year","K_net_cc","K_gross_cc","K_net_real","K_gross_real","K_net_hist","IG_cc","IG_real","D_cc","D_real","K_net_chain","asset","p_K"
1929,333,350.02,1121.4,1165.362,232,20.43,52.77025,17.02,43.962,7.7,"TOTAL_PRODUCTIVE",0.296950240770465
1930,311.85,327.73,1109.98,1153.4851028102,226.46,3.46,4.90937637215808,15.88,43.5051028101986,7.62,"TOTAL_PRODUCTIVE",0.280951008126273
1931,292.08,306.91,1098.56,1141.65900072166,221.06,3.22,4.92805729237778,14.83,43.0990007216647,7.54,"TOTAL_PRODUCTIVE",0.265875327701719
1932,273.6,287.43,1088.49,1131.14113465513,215.8,2.99,4.93929347002939,13.83,42.65113465513,7.47,"TOTAL_PRODUCTIVE",0.25135738500124
1933,256.3,269.22,1079.17,1121.46635932108,210.65,2.78,4.95895609141166,12.92,42.2963593210846,7.4,"TOTAL_PRODUCTIVE",0.237497335915565
1934,240.13,252.19,1067.75,1109.58344127174,205.63,2.59,4.9871080458842,12.06,41.8334412717443,7.32,"TOTAL_PRODUCTIVE",0.224893467571997
1935,225,236.26,1057.68,1099.1217,200.74,2.41,5.01113065217391,11.26,41.4417,7.25,"TOTAL_PRODUCTIVE",0.212729748127978
1936,226.74,238.15,1046.73,1087.81716578227,195.97,13.15,48.4340316558119,11.41,41.0871657822686,7.18,"TOTAL_PRODUCTIVE",0.216617465822132
1937,228.5,240.05,1036.66,1077.30475545975,191.31,13.32,47.9192099348152,11.55,40.6447554597522,7.11,"TOTAL_PRODUCTIVE",0.220419423919125
1938,230.3,242,1028.69,1069.00364598555,186.76,13.5,47.5391470354461,11.7,40.3136459855477,7.05,"TOTAL_PRODUCTIVE",0.223876969738211
1939,232.14,244,1017.27,1057.15011066717,182.33,13.69,47.0295962316836,11.86,39.8801106671673,6.97,"TOTAL_PRODUCTIVE",0.228199003214486
1940,234,246.02,1007.2,1046.6925,178,13.88,46.5657941176471,12.02,39.4925,6.9,"TOTAL_PRODUCTIVE",0.232327243844321
1941,241.13,253.57,1085.08,1127.64640336158,186.23,19.57,73.8604006603577,12.44,42.5664033615842,7.43,"TOTAL_PRODUCTIVE",0.222223246212261
1942,248.49,261.35,1168.7,1214.60440813353,194.84,20.22,79.6561870204476,12.86,45.9044081335333,8.01,"TOTAL_PRODUCTIVE",0.212620860785488
1943,256.09,269.39,1257.12,1306.50667377317,203.87,20.9,85.7319710776444,13.3,49.3866737731745,8.62,"TOTAL_PRODUCTIVE",0.203711658393789
1944,263.91,277.68,1355.01,1408.31511431531,213.31,21.61,92.4997878960815,13.77,53.305114315314,9.29,"TOTAL_PRODUCTIVE",0.194766090287156
1945,272,286.25,1458.17,1515.5898,223.19,22.34,99.6250686813187,14.25,57.4198,10,"TOTAL_PRODUCTIVE",0.186535177654183
1946,304.74,320.65,1570.05,1631.95975301727,233.53,48.65,235.628084950602,15.91,61.9097530172667,10.77,"TOTAL_PRODUCTIVE",0.194095729435368
1947,341.55,359.3,1691.4,1758.03391358739,244.37,54.55,253.870711617264,17.75,66.6339135873877,11.6,"TOTAL_PRODUCTIVE",0.201933309684285
1948,382.95,402.78,1820.59,1892.43994951396,255.7,61.23,273.551954118143,19.83,71.8499495139628,12.49,"TOTAL_PRODUCTIVE",0.210343899505105
1949,429.54,451.69,1961.95,2039.45752071206,267.57,68.75,295.062237713164,22.15,77.5075207120614,13.46,"TOTAL_PRODUCTIVE",0.218935242998038
1950,482,506.74,2112.5,2196.0225,280,77.2,317.901111111111,24.74,83.5225,14.5,"TOTAL_PRODUCTIVE",0.228165680473373
1951,527.59,554.4,2235.2,2323.58266053408,301.13,72.4,288.931057981904,26.81,88.3826605340824,15.34,"TOTAL_PRODUCTIVE",0.236037043664996
1952,577.69,606.75,2365.27,2458.80201579716,323.92,79.16,305.802789240325,29.06,93.5320157971564,16.23,"TOTAL_PRODUCTIVE",0.244238501312747
1953,632.77,664.27,2502.71,2601.65852290894,348.5,86.59,323.663506915476,31.5,98.9485229089354,17.17,"TOTAL_PRODUCTIVE",0.252833928022024
1954,693.35,727.52,2649.62,2754.38407983232,375.02,94.75,342.785092271279,34.17,104.764079832321,18.17,"TOTAL_PRODUCTIVE",0.261679033219858
1955,760,797.08,2804.5,2915.40165,403.66,103.73,362.885412258064,37.08,110.90165,19.23,"TOTAL_PRODUCTIVE",0.270993046888929
1956,812.24,851.68,2965.87,3083.21967748044,434.57,91.68,311.421840804833,39.44,117.349677480436,20.34,"TOTAL_PRODUCTIVE",0.273862306844197
1957,868.09,910.04,3141.04,3265.28206218529,467.94,97.8,329.754569301713,41.95,124.242062185293,21.53,"TOTAL_PRODUCTIVE",0.276370246797239
1958,927.82,972.44,3321.95,3453.39860678949,503.99,104.35,348.842120681343,44.62,131.448606789493,22.77,"TOTAL_PRODUCTIVE",0.279299808847213
1959,991.68,1039.14,3517.13,3656.265784788,542.93,111.33,369.286070195239,47.46,139.135784788002,24.1,"TOTAL_PRODUCTIVE",0.281957163937642
1960,1060,1110.49,3721.5,3868.7625,585,118.81,390.852054740608,50.49,147.2625,25.5,"TOTAL_PRODUCTIVE",0.284831385194142
1961,1123.78,1177.41,3916.53,4071.56585326408,618.44,117.41,375.419670362297,53.63,155.035853264083,26.84,"TOTAL_PRODUCTIVE",0.286932565306534
1962,1191.43,1248.37,4121.91,4284.9770620051,653.8,124.59,395.022961006641,56.94,163.067062005098,28.24,"TOTAL_PRODUCTIVE",0.289048038409378
1963,1263.18,1323.66,4338.3,4510.01594747363,691.18,132.23,415.839930614325,60.48,171.715947473629,29.73,"TOTAL_PRODUCTIVE",0.291169352050342
1964,1339.28,1403.5,4565.04,4745.64469219014,730.68,140.32,437.483750708413,64.22,180.604692190138,31.28,"TOTAL_PRODUCTIVE",0.293377495049331
1965,1420,1488.22,4804.42,4994.53515,772.46,148.94,460.488854012605,68.22,190.11515,32.92,"TOTAL_PRODUCTIVE",0.295561170755263
1966,1522.19,1595.42,5055.97,5256.02924862921,816.62,175.42,537.932423067533,73.23,200.059248629209,34.64,"TOTAL_PRODUCTIVE",0.301067846525988
1967,1631.72,1710.32,5321.51,5532.0722850845,863.3,188.15,566.187549813113,78.6,210.562285084496,36.46,"TOTAL_PRODUCTIVE",0.306627254294364
1968,1749.17,1833.54,5599.69,5821.28643132047,912.66,201.79,595.764437874506,84.37,221.596431320473,38.37,"TOTAL_PRODUCTIVE",0.312369077573937
1969,1875.04,1965.59,5892.61,6125.80225819524,964.84,216.43,626.942596216731,90.55,233.19225819524,40.38,"TOTAL_PRODUCTIVE",0.318201951257592
1970,2010,2107.2,6202.5,6447.9375,1020,232.16,659.93934822298,97.2,245.4375,42.5,"TOTAL_PRODUCTIVE",0.324062877871826
1971,2238.63,2346.03,6545.76,6804.96219629154,1116.06,336.03,936.512287644394,107.4,259.202196291538,44.85,"TOTAL_PRODUCTIVE",0.341996956808682
1972,2493.67,2612.37,6908.15,7181.99006366053,1221.28,373.74,988.923295396533,118.7,273.840063660527,47.34,"TOTAL_PRODUCTIVE",0.360975080158943
1973,2778.21,2909.42,7290.83,7580.04403162901,1336.57,415.73,1044.16504336101,131.21,289.214031629007,49.96,"TOTAL_PRODUCTIVE",0.381055380525948
1974,3095.69,3240.75,7697.31,8002.92598223484,1462.87,462.54,1102.98990523069,145.06,305.615982234842,52.75,"TOTAL_PRODUCTIVE",0.40217816354025
1975,3450,3610.4,8122.45,8445.21585,1601.28,514.71,1164.49989065385,160.4,322.76585,55.67,"TOTAL_PRODUCTIVE",0.424748690358205
1976,3909.88,4091.66,8574.37,8915.37480889195,1752.94,641.66,1348.66440478618,181.78,341.00480889195,58.77,"TOTAL_PRODUCTIVE",0.455996183976199
1977,4431.09,4637.09,9051.72,9411.97643774392,1919.16,727.21,1424.13440346724,206,360.256437743915,62.04,"TOTAL_PRODUCTIVE",0.489530166642362
1978,5021.79,5255.26,9555.57,9936.23503670761,2101.35,824.18,1503.86543505256,233.47,380.665036707612,65.5,"TOTAL_PRODUCTIVE",0.525535368376769
