"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","RICOMP","boundsF_stat","boundsF_p","boundsT_stat","boundsT_p","theta_hat","theta_se","a_hat","den","s_K","admissible","failed","error_msg","ICOMP_Misspec","spec_idx"
1,2,2,"s0",-261.161985110376,5,63,130.580992555188,-251.161985110376,-240.446311478418,-246.947458294289,-250.109353531429,-244.29282342123,NA,3.58699993480671,0.0915850915265329,NA,NA,0.634479682965608,0.135867789025638,2.81530845978819,0.0786275895217949,0.666666666666667,TRUE,FALSE,"",-242.178306888484,31
3,2,2,"s0",-266.1607234009,7,62,133.08036170045,-252.1607234009,-237.270782705584,-246.314557023867,-250.086649326826,-248.118685763324,NA,4.8981305682645,0.02119599014216,NA,NA,0.437707004436095,0.581221746507332,4.95903705919074,0.0444084337951354,0.4,TRUE,FALSE,"",-245.550855944406,33
1,3,2,"s0",-268.045354458135,6,62,134.022677229067,-256.045354458135,-243.282548147864,-251.034354706392,-254.518081730862,-249.849714568314,NA,7.03030626358926,0.00174999671531314,NA,NA,0.564783792310616,0.170648879213535,3.60406246165539,0.0821397463641899,0.75,TRUE,FALSE,"",-247.2588140955,36
2,3,2,"s0",-268.045374344077,7,62,134.022687172038,-254.045374344077,-239.155433648761,-248.199207967044,-251.971300270003,-248.413961571398,NA,6.66712929444413,0.00266317021593638,NA,NA,0.565096283441398,0.187138256068327,3.60041152514335,0.0822424531841223,0.6,TRUE,FALSE,"",-246.201627116326,37
3,3,2,"s0",-270.203080249449,8,62,135.101540124725,-254.203080249449,-237.186005169089,-247.521747247126,-251.486099117374,-249.65242211593,NA,6.32747109005062,0.00384296848547094,NA,NA,0.396943921925299,0.601951030886985,5.51446266908799,0.0467589026302782,0.5,TRUE,FALSE,"",-247.634127839715,38
1,5,2,"s0",-266.26807735426,8,60,133.13403867713,-250.26807735426,-233.513320856483,-243.714371011397,-247.444547942495,-245.18992093376,NA,5.79206892282205,0.00737647744186936,NA,NA,0.590156475692016,0.14340428613343,3.44242373290215,0.0875872097002345,0.833333333333333,TRUE,FALSE,"",-243.122996370744,46
1,3,3,"s0",-268.045354458135,6,62,134.022677229067,-256.045354458135,-243.282548147864,-251.034354706392,-254.518081730862,-249.849714568314,NA,5.26635691665666,0.0710867722485674,-1.28333588569709,0.72953859633074,0.564783792310616,0.170648879213535,3.60406246165539,0.0821397463641899,0.75,TRUE,FALSE,"",-247.2588140955,61
2,3,3,"s0",-268.045374344077,7,62,134.022687172038,-254.045374344077,-239.155433648761,-248.199207967044,-251.971300270003,-248.413961571398,NA,5.16202467892203,0.0767615890063366,-1.19090963499143,0.762377241535738,0.565096283441398,0.187138256068327,3.60041152514335,0.0822424531841223,0.6,TRUE,FALSE,"",-246.201627116326,62
3,3,3,"s0",-270.203080249449,8,62,135.101540124725,-254.203080249449,-237.186005169089,-247.521747247126,-251.486099117374,-249.65242211593,NA,5.03825452614273,0.0839414568277263,-0.639295860315211,0.898224176982354,0.396943921925299,0.601951030886985,5.51446266908799,0.0467589026302782,0.5,TRUE,FALSE,"",-247.634127839715,63
1,3,2,"s1",-268.374417870086,7,62,134.187208935043,-254.374417870086,-239.48447717477,-248.528251493053,-252.300343796012,-246.484202922219,NA,6.97502664244314,0.00184348334509086,NA,NA,0.669533951524144,0.168965795291049,2.60192440068468,0.106301574101062,0.75,TRUE,FALSE,"",-243.654711731157,161
2,3,2,"s1",-268.399266991848,8,62,134.199633495924,-252.399266991848,-235.382191911487,-245.717933989524,-249.682285859772,-245.120172597667,NA,6.6297914996739,0.00277815331661269,NA,NA,0.680033061871201,0.170382224841491,2.48373402685809,0.111814408402086,0.6,TRUE,FALSE,"",-242.73401530017,162
3,3,2,"s1",-270.212588074093,9,62,135.106294037047,-252.212588074093,-233.068378608687,-244.696088446479,-248.751049612555,-246.110188836008,NA,6.19090174604108,0.0044993401500649,NA,NA,0.461462701569952,0.778692600655999,4.84995633240816,0.0527050769278543,0.5,TRUE,FALSE,"",-243.968056793799,163
1,3,2,"s2",-268.385090426784,8,62,134.192545213392,-252.385090426784,-235.368015346423,-245.703757424461,-249.668109294709,-242.699537194809,NA,6.41637781781413,0.00351751640017387,NA,NA,0.673096208428726,0.173690070353336,2.58323430385799,0.105530811693896,0.75,TRUE,FALSE,"",-239.103849642811,286
2,3,2,"s2",-268.408395848634,9,62,134.204197924317,-250.408395848634,-231.264186383228,-242.89189622102,-246.946857387095,-241.239270162281,NA,6.13812925168998,0.00478065725586325,NA,NA,0.682932041575774,0.174634385624255,2.46995737532579,0.11093311747212,0.6,TRUE,FALSE,"",-238.441696890254,287
1,3,2,"s3",-268.736514932434,9,62,134.368257466217,-250.736514932434,-231.592305467028,-243.22001530482,-247.274976470896,-239.283218388352,NA,5.28106500412349,0.0141620979380995,NA,NA,0.71058953283365,0.172452955051356,2.38460010417065,0.103654284407707,0.75,TRUE,FALSE,"",-235.207166689848,411
