"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","RICOMP","boundsF_stat","boundsF_p","boundsT_stat","boundsT_p","theta_hat","theta_se","a_hat","den","s_K","admissible","failed","error_msg","ICOMP_Misspec","spec_idx"
1,2,2,"s0",-261.161985110376,5,63,130.580992555188,-251.161985110376,-240.446311478418,-246.947458294289,-250.109353531429,-244.29282342123,NA,3.58699993480671,0.0915850915265329,NA,NA,0.634479682965608,0.135867789025638,2.81530845978819,0.0786275895217949,0.666666666666667,TRUE,FALSE,"",-242.178306888484,31
2,2,2,"s0",-262.024119446164,6,63,131.012059723082,-250.024119446164,-237.165311087814,-244.96668726686,-248.524119446164,-244.483707047032,NA,3.66241634162414,0.0843375961220586,NA,NA,0.670894573028043,0.0906997078902348,2.39296733817991,0.102085173758898,0.5,TRUE,FALSE,"",-242.230812825767,32
3,2,2,"s0",-266.1607234009,7,62,133.08036170045,-252.1607234009,-237.270782705584,-246.314557023867,-250.086649326826,-248.118685763324,NA,4.8981305682645,0.02119599014216,NA,NA,0.437707004436095,0.581221746507332,4.95903705919074,0.0444084337951354,0.4,TRUE,FALSE,"",-245.550855944406,33
4,2,2,"s0",-261.452316772985,8,61,130.726158386492,-245.452316772985,-228.565325859598,-238.834146774133,-242.683086003754,-242.04274901819,NA,4.41377192003236,0.0365535276577803,NA,NA,0.444913359170319,0.652913584400074,4.93244402586,0.0426144306912833,0.333333333333333,TRUE,FALSE,"",-238.946389481301,34
5,2,2,"s0",-262.25155708807,9,60,131.125778544035,-244.25155708807,-225.402456028071,-236.878637452349,-240.65155708807,-241.873188440929,NA,4.34016262764635,0.0396059161199642,NA,NA,0.179308851943198,2.44371051482495,8.35548496274544,0.0210258228790167,0.285714285714286,TRUE,FALSE,"",-238.709936906215,35
1,3,2,"s0",-268.045354458135,6,62,134.022677229067,-256.045354458135,-243.282548147864,-251.034354706392,-254.518081730862,-249.849714568314,NA,7.03030626358926,0.00174999671531314,NA,NA,0.564783792310616,0.170648879213535,3.60406246165539,0.0821397463641899,0.75,TRUE,FALSE,"",-247.2588140955,36
2,3,2,"s0",-268.045374344077,7,62,134.022687172038,-254.045374344077,-239.155433648761,-248.199207967044,-251.971300270003,-248.413961571398,NA,6.66712929444413,0.00266317021593638,NA,NA,0.565096283441398,0.187138256068327,3.60041152514335,0.0822424531841223,0.6,TRUE,FALSE,"",-246.201627116326,37
3,3,2,"s0",-270.203080249449,8,62,135.101540124725,-254.203080249449,-237.186005169089,-247.521747247126,-251.486099117374,-249.65242211593,NA,6.32747109005062,0.00384296848547094,NA,NA,0.396943921925299,0.601951030886985,5.51446266908799,0.0467589026302782,0.5,TRUE,FALSE,"",-247.634127839715,38
4,3,2,"s0",-265.00312553457,9,61,132.501562767285,-247.00312553457,-228.005260757011,-239.557684285863,-243.473713769865,-243.198639153999,NA,5.60308617120404,0.00950778766559931,NA,NA,0.408886932863372,0.645372287855328,5.40078464774323,0.0466742746530817,0.428571428571429,TRUE,FALSE,"",-239.529674895049,39
5,3,2,"s0",-265.956840087731,10,60,132.978420043866,-245.956840087731,-225.01339446551,-237.764707159152,-241.467044169364,-242.964397030791,NA,5.55568105473725,0.0100941681825146,NA,NA,0.46018586623544,0.600986223274295,4.97422593623615,0.0459333405092344,0.375,TRUE,FALSE,"",-239.618199130923,40
