"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","RICOMP","boundsF_stat","boundsF_p","boundsT_stat","boundsT_p","theta_hat","theta_se","a_hat","den","s_K","admissible","failed","error_msg","ICOMP_Misspec","spec_idx"
4,1,3,"s1",-247.707879540183,8,61,123.853939770092,-231.707879540183,-214.820888626797,-225.089709541332,-228.938648770952,-224.649340831976,NA,0.264335950244515,0.963677829118145,-0.414760112020211,0.932142784377438,0.639487027365151,0.656381000274301,5.85473060866087,0.0348080828674417,0.2,FALSE,FALSE,"",-222.168924183626,179
5,1,3,"s1",-243.920317336035,9,60,121.960158668018,-225.920317336035,-207.071216276036,-218.547397700314,-222.320317336035,-220.208087133983,NA,0.165254748067151,0.978312692825836,0.0233242261483159,0.972449668272913,4.40156305754247,151.970076267085,-77.0770574827044,-0.00215626941233693,0.166666666666667,FALSE,FALSE,"",-217.013492861395,180
1,2,3,"s1",-258.390711254253,6,63,129.195355627126,-246.390711254253,-233.531902895903,-241.333279074949,-244.890711254253,-236.499933878188,NA,0.238490174069674,0.967689661957334,-0.353332542261512,0.939975454171681,0.549428860437315,1.05535452119928,8.42993021400062,0.0222149907379846,0.666666666666667,FALSE,FALSE,"",-233.988021196149,181
2,2,3,"s1",-258.977101987412,7,63,129.488550993706,-244.977101987412,-229.975158902671,-239.076764444891,-242.940738351049,-236.449213018145,NA,0.316868067516827,0.955303193510509,-0.577832809358533,0.908734700356179,0.70430166326161,0.42869114482079,4.89389367688781,0.0388164132387873,0.5,FALSE,FALSE,"",-233.926751344112,182
3,2,3,"s1",-262.877794386323,8,62,131.438897193161,-246.877794386323,-229.860719305962,-240.196461383999,-244.160813254247,-239.270240460946,NA,0.94357791886788,0.830736029171392,-0.704555523507445,0.886624436207865,0.582926801414352,0.48221985059256,6.70828714601758,0.0473405354137784,0.4,FALSE,FALSE,"",-236.48746028492,183
4,2,3,"s1",-259.867278782964,9,61,129.933639391482,-241.867278782964,-222.869414005404,-234.421837534257,-238.337867018258,-234.746241238368,NA,0.412236899437683,0.938846809195156,0.0248490054141512,0.972533263902922,6.49714723056075,226.750865807156,-116.845146323197,-0.00192461441025782,0.333333333333333,FALSE,FALSE,"",-231.835662286823,184
5,2,3,"s1",-261.097495842555,10,60,130.548747921277,-241.097495842555,-220.154050220334,-232.905362913976,-236.607699924188,-234.947516120591,NA,0.828346475549232,0.856727493500192,1.05326801587292,0.993762405382032,0.958430944316082,0.161484172841543,-1.10728617239958,-0.0880766187261424,0.285714285714286,FALSE,FALSE,"",-230.436312795035,185
1,3,3,"s1",-265.099184241083,7,62,132.549592120542,-251.099184241083,-236.209243545768,-245.25301786405,-249.025110167009,-242.008773429367,NA,0.875146910761558,0.846033583337442,-0.598084717888693,0.905257628174618,0.486217083639151,0.711084748778987,9.03352774312575,0.0351604530427604,0.75,FALSE,FALSE,"",-239.254572468866,186
2,3,3,"s1",-265.129656245505,8,62,132.564828122752,-249.129656245505,-232.112581165144,-242.448323243181,-246.412675113429,-240.864363347224,NA,0.872827467027038,0.846549524672559,-0.605319502868432,0.904015480080024,0.534154314475339,0.628123612026005,8.02098230826062,0.0397534252430383,0.6,FALSE,FALSE,"",-238.643858135445,187
3,3,3,"s1",-267.154090122875,9,62,133.577045061437,-249.154090122875,-230.009880657469,-241.637590495261,-245.692551661336,-241.749722025078,NA,0.944229608439423,0.830589872865271,-0.269990830608348,0.949396908135624,0.0275916197413151,3.2095856652865,18.164629077775,0.018148821469154,0.5,FALSE,FALSE,"",-239.109217715172,188
4,3,3,"s1",-263.596624378541,10,61,131.79831218927,-243.596624378541,-222.487885736808,-235.323911879977,-239.196624378541,-236.519433935532,NA,0.715803740384774,0.88092013932796,0.343688137950728,0.986295863973693,1.37855731404765,1.55000563585673,-9.69126152603704,-0.0264917933530366,0.428571428571429,FALSE,FALSE,"",-232.992659358703,189
5,3,3,"s1",-264.697742538772,11,60,132.348871269386,-242.697742538772,-219.659952354329,-233.686396317335,-237.197742538772,-236.440758351257,NA,1.18693922032459,0.770756407840804,1.22154148179818,0.994813876841829,0.9693760882315,0.14413424006114,-1.30201880260459,-0.100514989551336,0.375,FALSE,FALSE,"",-231.878080249809,190
1,4,3,"s1",-260.905099306699,8,61,130.452549653349,-244.905099306699,-228.018108393312,-238.286929307847,-242.135868537468,-236.286406870922,NA,0.490441277513307,0.925149805023593,-0.0171612472273257,0.970230062636308,-8.82090172357965,563.698109794329,210.954093610235,0.00118294260822083,0.8,FALSE,FALSE,"",-234.12059110171,191
2,4,3,"s1",-261.073282392201,9,61,130.536641196101,-243.073282392201,-224.075417614641,-235.627841143494,-239.543870627495,-235.453148039734,NA,0.437738034286537,0.934417420654486,-0.131024886382446,0.961931781262237,-0.281357883444811,8.78374713628091,25.8685559194681,0.00955467446557201,0.666666666666667,FALSE,FALSE,"",-233.512006558243,192
3,4,3,"s1",-263.444200924796,10,61,131.722100462398,-243.444200924796,-222.335462283063,-235.171488426232,-239.044200924796,-236.492364604625,NA,0.664389604153897,0.891820692581587,0.26007484771359,0.983413693031918,1.54065099550333,2.66901085844558,-13.2537242154227,-0.0195203603718717,0.571428571428571,FALSE,FALSE,"",-234.013171644064,193
4,4,3,"s1",-263.672023582996,11,61,131.836011791498,-241.672023582996,-218.45241107709,-232.572039834576,-236.284268480956,-235.316409857227,NA,0.722413801889261,0.879526301834607,0.353939695345913,0.986649237710674,1.36595342836633,1.46952247394077,-9.47574040928484,-0.0275799588280912,0.5,FALSE,FALSE,"",-232.252272201205,194
