"year","gdp_real_2017","yk_gpim","yk_chain","yk_nominal","ln_yk_gpim","ln_yk_chain","ln_divergence"
1929,1191.11414900889,0.00038987865027618,29.4947045614325,0.00100921805774076,-7.84967502039676,3.38421074084045,-11.2338857612372
1930,1089.74813763746,0.00034917993018873,26.4701143490845,0.00093690909460586,-7.95992320933684,3.27601633617998,-11.2359395455168
1931,1020.04744958482,0.00032567826330464,25.2969136618015,0.000888856985344788,-8.02960058630453,3.23068239864002,-11.2602829849445
1932,888.388059701492,0.00028603393863434,22.9682271956744,0.000730761675588076,-8.1594000876311,3.13411183460519,-11.2935119222363
1933,877.402517654283,0.00028600824274659,23.6937300546646,0.000687211427472105,-8.15948992676746,3.16521045848483,-11.3247003852523
1934,972.202008441275,0.00032005949990114,26.992115287947,0.000795380127403703,-8.04700364226362,3.29554479698399,-11.3425484392476
1935,1058.77067883628,0.0003510084233258,29.302041868549,0.000883632078840249,-7.95470033670716,3.37765720194128,-11.3323575386484
1936,1195.29378610681,0.00039659062224883,32.2311928301688,0.000912287871292453,-7.83260598752165,3.47293470507637,-11.305540692598
1937,1256.45771413132,0.00041477921349565,32.5507179826767,0.000968639990001458,-7.78776419497726,3.48279942625084,-11.2705636212281
1938,1214.90959666203,0.0004015569055898,31.0917363189259,0.000923988237534113,-7.82016130214285,3.43694207065936,-11.2571033728022
1939,1312.31741573034,0.00043386338371728,33.3007870414723,0.000993566704238532,-7.74278085748034,3.50558103158615,-11.2483618890665
1940,1428.16099930604,0.00047075867773208,35.5857025217661,0.00103287360475387,-7.66116495675288,3.57194394263213,-11.233108899385
1941,1681.08424336973,0.0005501963226071,40.0639714816428,0.00115551444962737,-7.50523539323459,3.69047746365736,-11.195712856892
1942,1998.45857418112,0.00065812617176777,47.8500795925086,0.00138542710211714,-7.32611389461377,3.86807278127289,-11.1941866758867
1943,2338.86905447426,0.000779708123071,57.5028041125599,0.00167302923706822,-7.1565909095024,4.05183371378918,-11.2084246232916
1944,2524.71316085489,0.00084671758051077,60.9893023687045,0.00182633142113186,-7.07414335396627,4.11069847778917,-11.1848418317554
1945,2500.07675438597,0.00083725372643661,58.7161923574055,0.00172394317210927,-7.08538339549472,4.07271553815416,-11.1580989336489
1946,2209.9358974359,0.00072385860234961,50.1028361620545,0.00139227300262503,-7.23091448527429,3.91407761650958,-11.1449921017839
1947,2184.63154209697,0.00070107533467784,45.0374490712056,0.0012751123825092,-7.26289520926047,3.80749434526493,-11.0703895545254
