"year","KNC_NF_corp","KNR_NF_corp","KGC_NF_corp","KGR_NF_corp","IG_cc_NF_corp","IG_R_NF_corp","pK_NF_corp","z_NF_corp","rho_NF_corp","KNC_gov_trans","KNR_gov_trans","KGC_gov_trans","KGR_gov_trans","IG_cc_gov_trans","IG_R_gov_trans","pK_gov_trans","z_gov_trans","rho_gov_trans","KGC_productive","KNC_productive","KNR_productive","KGR_productive","IG_productive","pK_productive","share_NF_corp","share_govt","GVA_NF","CCA_NF","NVA_NF","EC_NF","NOS_NF","TPI_NF","GOS_NF","ProfSh","WageSh","Py_fred","KGC_NF_IPP","KNC_NF_IPP","KNR_NF_IPP","pK_NF_IPP","z_NF_IPP","KGC_fin_corp","KNC_fin_corp","KNR_fin_corp","pK_fin_corp","z_fin_corp","KGC_total","R_NVA_KGC","k_Py","k_pK","y_t","y_GVA","y_GOS","y_NOS"
1939,94830,1868717.1723,65643.9409612188,1293577.55701441,4824,95061.6011723632,5.07460419402494,0.0421194793862446,0.0308358197271761,24799,1012158.2816,17494.5753446178,357015.994962098,1629,33243.393699875,4.90022172437264,0.0247239012351852,0.00989261528606289,83138.5163058366,119629,2880875.4539,1650593.55197651,6453,5.01159981919362,0.789573159084754,0.210426840915246,44443,4636,39807,28023,7132,4652,11768,0.179164468560806,0.703971663275303,7.12,3228.93600027305,3970,44545.52398,8.91223100615552,0.137380771824996,2877.59228964907,3103,42601.31488,7.28381273850485,0.107226624866101,86367.4523061097,0.47880334854142,13.9705258274795,14.3216783635917,13.2340605157688,13.34422520879,12.0154017228455,11.5146094395472
1940,100547,1888983.4227,72640.7584543806,1364706.93837389,5979,112327.885310584,5.32281007825279,0.00263400590545585,0.0318484993247654,25227,1054272.8062,18404.9407114533,384584.542193057,1491,31155.5229326555,4.78566834914915,0.0219453359319109,0.010047100836693,91045.6991658339,125774,2943256.2289,1749291.48056695,7470,5.15735702393501,0.797849421992687,0.202150578007313,51078,4844,46234,31010,10197,5027,15041,0.220551974737206,0.67071851883895,7.205,3485.26563565902,4336,47292.12964,9.16854460352443,0.110915879711597,3383.34430341438,3556,43026.02124,8.26476605904265,-0.0644721700815006,94530.9648014929,0.507810917194317,14.0495118046166,14.38386279046,13.3718656936781,13.4715041116487,12.2489300411918,11.8602437949008
1941,112617,1920733.88166,84748.8890558626,1445430.64228882,7339,125169.965080785,5.86322764831276,-0.0427157508538014,0.0325683558250403,29516,1077664.86955,22063.2881945282,402778.672482725,1212,22125.7931612447,5.4777697286031,-0.0532807979148673,0.0102231432630036,106812.177250391,142133,2998398.75121,1848209.31477154,8551,5.72097342245863,0.793438456527227,0.206561543472773,66680,5364,61316,39642,15756,5918,21120,0.256963924587383,0.646519668601996,7.692,4125.27188765797,5140,52248.6479,9.8375751461312,0.0700713792189846,4140.28905742268,4279,44120.45686,9.6984489838304,-0.100171184412654,110937.449138049,0.574054396965077,14.1438165764685,14.4398584345306,13.5887854575476,13.6726496951263,12.5229650960818,12.2299658823524
1942,120147,1918369.48578,93512.6586336696,1493102.87278911,5984,95545.6482717631,6.2629749321283,-0.0128517307644599,0.0331205222657105,37847,1079206.7193,28771.6349421668,410211.400571156,817,11648.3722576175,7.01385551501171,-0.0994101318624366,0.0104664036534049,122284.293575836,157994,2997576.20508,1903314.27336027,6801,6.36113712381279,0.764715205028979,0.235284794971021,84033,6124,77909,50790,20842,6277,26966,0.267517231642044,0.651914412968977,8.304,4862.42534170897,6043,55973.92914,10.7960975633593,0.0519428486581313,4103.71423223298,4124,43026.02124,9.58489742055452,0.0730686375093321,127146.718917545,0.637113710369383,14.202536747611,14.4690669196118,13.7517296174843,13.8273977173847,12.6907649517586,12.4331583201169
1943,121044,1903338.6834,96927.2291483337,1524118.04560986,5216,82018.229508397,6.35956180871472,0.0354016703446049,0.0341591042500489,41756,1070924.7835,32141.1334011593,412165.1538591,497,6373.33098715753,7.79812002548543,-0.0405428679109393,0.0107739026586291,129068.362549493,162800,2974263.4669,1936283.19946896,5713,6.60601202082302,0.75097589551557,0.24902410448443,99680,6304,93376,61991,24744,6641,31048,0.264993145990404,0.663885795065113,8.683,5460.47085216773,6834,57678.71886,11.8483907671177,0.0529251324743853,4312.24139811255,4236,41572.2187,10.1894970546761,-0.00091238062870733,134528.833401661,0.723461568393212,14.2119005801277,14.4852875245567,13.888192726792,13.9535234289309,12.7870927679583,12.5601414092745
1944,122510,1906209.73554,101135.38704882,1573628.76010176,6646,103409.271915753,6.42688984931109,0.0423460424830322,0.0353637682980696,37969,1060704.5223,29564.2617756858,412954.596696396,384,5363.72483556586,7.1592039445008,0.0544022029532655,0.0110981774064133,130699.648824505,160479,2966914.25784,1986583.35679815,7030,6.52796187799955,0.773799990730024,0.226200009269976,103244,6496,96748,64833,24577,7338,31073,0.254031091081986,0.670122379790797,8.89,5901.44680698744,7498,59225.65768,12.6600535877747,0.0784699674702526,4397.33546135696,4236,40118.41616,10.5587418583675,0.0225538048832071,136601.095631493,0.740231522197176,14.2009003491889,14.5097326208371,13.900108075306,13.9650935342169,12.7643376903516,12.529809461686
1945,134003,1936102.45488,113996.133140544,1647039.19479589,9022,130351.681290175,6.92127628175057,-0.0187290554947323,0.0361846758522383,36197,1051189.1067,28508.2595896318,413951.044721894,393,5706.51323221676,6.88686740935383,0.0296375130688511,0.0114057701364732,142504.392730175,170200,2987291.56158,2060990.23951778,9415,6.87616579097695,0.799948204799478,0.200051795200522,96576,6736,89840,61658,20084,8098,26820,0.223552983081033,0.686308993766696,9.12,6237.39694861405,8050,61845.98262,13.0162051906614,0.114282999377558,4453.18992029212,4235,39170.99428,10.8115713625434,0.0302022082152375,148741.789678789,0.630436706397587,14.2618284862942,14.5442370916065,13.8004859713142,13.8727859240294,12.5916035387375,12.3023791390564
1946,161715,1992172.41432,141769.81479468,1746467.02048181,12964,159703.943228794,8.11752029280052,-0.0938385763432126,0.0365966503610394,39026,1051497.47665,31190.1660309372,420186.297312369,822,11073.7831933365,7.42293745189655,-0.0257211699940058,0.0116886541646776,172959.980825617,200741,3043669.89097,2166653.31779418,13786,7.95981420818325,0.819668307766615,0.180331692233384,100771,7752,93019,66853,16641,9525,24393,0.178898934626259,0.718702630645352,10.296,7046.68041120713,9122,66392.08854,13.7395888585493,0.0900277101318086,5646.74644511625,5394,40624.79682,13.2776048675386,-0.145165233170764,180006.661236824,0.537806488853537,14.3342302377071,14.5915800490975,13.7139737680383,13.7940206105078,12.3754662005702,11.9930395244176
1947,192728,2075432.92638,173066.487597363,1863703.70061695,16831,181248.244074041,9.28615892859322,-0.0766609941191812,0.0366520313227827,47724,1066695.7099,38620.6172644474,431611.419303452,1470,16428.2404403759,8.94800636340311,-0.076821648930075,0.0119069052972316,211687.10486181,240452,3142128.63628,2295315.1199204,18301,9.2356789744453,0.817558007183957,0.182441992816043,122211,9476,112735,78763,22780,11192,32256,0.202066793808489,0.698656140506497,11.426,8197.65330644679,10596,70306.79086,15.0710903888353,0.0545671959757645,6782.55808191501,6465,41784.57188,15.472217876413,-0.094661458454808,219884.758168257,0.532554876564605,14.4321432686333,14.6449605961196,13.8020739365064,13.8827830637208,12.5507380771169,12.202916962687
1948,211040,2156329.04256,194649.065120068,1988852.50296416,18915,193266.507960682,9.78700355254932,0.00296864908310353,0.0365496433746002,51553,1087312.4437,42292.309895187,445996.884971325,1858,19593.6853373674,9.48264692429547,-0.0194857216959035,0.0120669181503579,236941.375015255,262593,3243641.48626,2434849.38793548,20773,9.77045286979341,0.821507282582183,0.178492717417817,140041,11120,128921,87467,29076,12378,40196,0.225533466231258,0.678454247174626,12.067,8821.28928214934,11341,73274.38778,15.4774408133581,0.122223640124266,7363.98837951898,6973,42928.01208,16.2434728796787,0.00486204635841563,245762.664297404,0.544105055487669,14.4902637586098,14.7013753946202,13.8816508245443,13.9643862477566,12.7162184990655,12.3923641025012
1949,215670,2209190.17902,204285.86406433,2092578.12678413,17205,176237.385960213,9.76240081311929,0.0597360259594365,0.0364590948962625,47225,1118942.39,39472.5671857911,467628.678309207,2285,27070.2314573849,8.44100651151486,0.0720526451679766,0.0121938926094784,243758.431250121,262895,3328132.56902,2560206.80509334,19490,9.53336245225977,0.838066864053256,0.161933135946744,136291,12008,124283,84902,26426,12955,38434,0.212627632097712,0.683134459258306,12.046,9072.3609839314,11655,75515.87056,15.4338418051338,0.152178965449108,6923.59600775283,6448,43989.77798,14.6579507696802,0.171954372835394,252830.792234053,0.509861338385759,14.5203705093725,14.7543056804082,13.8467540336231,13.9389851160567,12.6731352948589,12.2985411843407
1950,241923,2269313.38854,233818.311394503,2193288.87511051,18927,177541.178411712,10.6606254218438,-0.0311064984215169,0.0367156805769544,53022,1159118.5892,44701.3995904992,488610.607187628,2444,26714.2491041907,9.14867563923631,-0.032754245229361,0.0122582734799248,278519.710985002,294945,3428431.97774,2681899.48229814,21371,10.3826902270673,0.839503640757023,0.160496359242977,154866,12848,142018,94387,33268,14363,46116,0.234251996225831,0.664612936388345,12.195,9898.6660120833,12817,78483.46748,16.3308278947616,0.0887096542713573,7786.51206407761,7163,45198.55762,15.8478508544937,-0.0144876927939557,288418.376997086,0.509902870061672,14.6413882656948,14.8022742791135,13.9678532434335,14.054459660183,12.8430593946731,12.5164954073088
1951,262117,2342947.43166,259077.394904334,2315777.75189047,22791,203718.62532748,11.1874895893113,0.0102292744316613,0.0370355904638573,59736,1192554.70235,51024.186489785,509317.108041854,2678,26731.4642166642,10.0181567993966,-0.0347564540387963,0.0123308075465587,310101.581394119,321853,3535502.13401,2825094.85993232,25469,10.9867907597158,0.83545976689188,0.16454023310812,177643,14636,163007,109808,37834,15365,52470,0.232100461943352,0.673639782340636,13.06,10470.3969535977,13607,80693.38008,16.8625976337959,0.118177306992798,9140.11155954565,8329,46848.37848,17.7786302754443,-0.0492801829774034,320571.978347717,0.525656784035643,14.6802712668417,14.8531316795035,14.0371644857919,14.1231472594915,12.9036129188206,12.5765795103654
1952,277787,2421310.26654,280246.638322454,2442749.52583627,24435,212985.90777432,11.4725900203179,0.032608280772771,0.0371426548848668,62966,1226783.7668,54592.8267384565,531823.473195562,2959,28825.5023819299,10.265215713482,-0.00221372108492991,0.01240707827883,334839.46506091,340753,3648094.03334,2974572.99903183,27394,11.2729624305011,0.83695820703654,0.16304179296346,185883,15580,170303,117770,35736,16797,51316,0.209837759757608,0.691532151518176,13.286,11374.2057775226,14631,85649.89834,17.0823320092221,0.14168281509163,9660.00217444157,8705,48106.1627,18.0953946675942,0.0434095411588749,346213.670838433,0.508610894982228,14.7398658239216,14.9041695198053,14.0637938192125,14.1513320592585,12.8642172101143,12.502373199777
1953,292500,2509130.68494,301082.212814788,2582750.83372041,26931,231020.165730322,11.6574238940844,0.0432859634595563,0.0372608230534871,58242,1270660.4054,51496.2992095468,561745.033053488,3351,36554.230782729,9.16720152016787,0.0718021968309997,0.0124715648313704,352578.512024335,350742,3779791.09034,3144495.8667739,30282,11.199132240044,0.853943738902635,0.146056261097365,199043,16728,182315,128198,36232,17885,52960,0.198732962180841,0.703167594547898,13.447,12965.4267968855,16229,92879.46956,17.4731833384514,0.13778114048977,10004.0728630255,8904,50458.38254,17.6462255660722,0.0915310567959765,365543.938821221,0.517090502632266,14.7794427587274,14.9623624948372,14.119905392381,14.207690313913,12.8837063437572,12.5041121383824
1954,301967,2583102.4989,317038.503835346,2712027.97492639,26377,225635.564858032,11.6900897323506,0.0576504207453069,0.0373084474096355,60715,1331497.39125,54659.2814880336,599346.872345518,4069,44617.1694391522,9.11980757889449,0.0137726564568417,0.0124884595934726,371697.785323379,362682,3914599.89015,3311374.84727191,30446,11.1815759520766,0.852946980998341,0.147053019001659,196164,17724,178440,125945,35178,17317,52902,0.197141896435777,0.705811477247254,13.572,14552.447648465,17682,99730.19862,17.7298353404202,0.14738230607951,10158.3600414025,8891,52777.93266,16.8460558265451,0.119173003468976,386250.232971844,0.480067428555583,14.8229977370969,15.0167391645019,14.0891690283083,14.1838676621053,12.8733577633812,12.4653375052584
