"year","ME_K_net_real","NRC_K_net_real","RC_K_net_real","IP_K_net_real","NR_K_net_real","TOTAL_PRODUCTIVE_K_net_real","TOTAL_ALL_K_net_real","ME_K_gross_real","NRC_K_gross_real","RC_K_gross_real","IP_K_gross_real","NR_K_gross_real","TOTAL_PRODUCTIVE_K_gross_real","TOTAL_ALL_K_gross_real","ME_IG_real","NRC_IG_real","RC_IG_real","IP_IG_real","NR_IG_real","TOTAL_PRODUCTIVE_IG_real","TOTAL_ALL_IG_real","ME_D_real","NRC_D_real","RC_D_real","IP_D_real","NR_D_real","TOTAL_PRODUCTIVE_D_real","TOTAL_ALL_D_real"
1929,56.4,540,525,1.4,596.4,1121.4,1122.8,65.142,560.52,539.7,1.68,625.662,1165.362,1167.042,10.49275,24.6375,17.64,0.336,35.13025,52.77025,53.10625,8.742,20.52,14.7,0.28,29.262,43.962,44.242
1930,55.93,533.25,520.8,1.4,589.18,1109.98,1111.38,64.6005362776025,553.498216997953,535.386349534643,1.68181818181818,618.098753275555,1153.4851028102,1155.16692099202,4.10842271293375,0.352142904312224,0.448810754912099,0.318181818181818,4.46056561724598,4.90937637215808,5.2275581903399,8.67053627760252,20.2482169979529,14.5863495346432,0.281818181818182,28.9187532755554,43.5051028101986,43.7869209920168
1931,55.46,526.5,516.6,1.4,581.96,1098.56,1099.96,64.0546783625731,546.521106614569,531.083215744523,1.67911392405063,610.575784977142,1141.65900072166,1143.33811464572,4.0811208576998,0.367359754395758,0.479576680282213,0.314556962025316,4.44848061209556,4.92805729237778,5.24261425440309,8.5946783625731,20.0211066145688,14.4832157445228,0.279113924050633,28.6157849771419,43.0990007216647,43.3781146457154
1932,54.99,521.1,512.4,1.4,576.09,1088.49,1089.89,63.5101897233202,540.88374493181,526.7472,1.68086419753086,604.39393465513,1131.14113465513,1132.82199885266,4.04274308300395,0.384150387025433,0.5124,0.315432098765432,4.42689347002939,4.93929347002939,5.25472556879482,8.52018972332016,19.7837449318098,14.3472,0.280864197530864,28.30393465513,42.65113465513,42.9319988526608
1933,54.52,514.35,510.3,1.68,568.87,1079.17,1080.85,62.9722314049587,533.901550085683,524.592577830443,2.01801801801802,596.873781490642,1121.46635932108,1123.4843773391,4.00859504132231,0.400646518149244,0.549714531940106,0.383423423423423,4.40924155947156,4.95895609141166,5.34237951483509,8.45223140495868,19.5515500856831,14.2925778304427,0.338018018018018,28.0037814906418,42.2963593210846,42.6343773391026
1934,54.05,507.6,506.1,1.68,561.65,1067.75,1069.43,62.4307490752158,526.899744876965,520.252947319564,2.0140350877193,589.330493952181,1109.58344127174,1111.59747635946,3.98210542540074,0.4177433956053,0.587259224878162,0.378245614035088,4.39984882100604,4.9871080458842,5.36535365991929,8.38074907521578,19.2997448769649,14.1529473195637,0.334035087719298,27.6804939521806,41.8334412717443,42.1674763594636
1935,53.58,502.2,501.9,1.68,555.78,1057.68,1059.36,61.8849,521.2836,515.9532,2.01504273504273,583.1685,1099.1217,1101.13674273504,3.94706,0.436695652173913,0.627375,0.378119658119658,4.38375565217391,5.01113065217391,5.38925031029357,8.3049,19.0836,14.0532,0.335042735042735,27.3885,41.4417,41.7767427350427
1936,53.58,495.45,497.7,1.68,549.03,1046.73,1048.41,61.8887321196359,514.2771,511.651333662633,2.016,576.165832119636,1087.81716578227,1089.83316578227,9.63255526657997,18.8271,19.9743763892319,0.378,28.45965526658,48.4340316558119,48.8120316558119,8.30873211963589,18.8271,13.9513336626327,0.336,27.1358321196359,41.0871657822686,41.4231657822686
1937,53.11,490.05,493.5,1.68,543.16,1036.66,1038.34,61.3442390615092,508.6719,507.288616398243,2.016,570.016139061509,1077.30475545975,1079.32075545975,9.547675967026,18.6219,19.7496339677892,0.381405405405405,28.169575967026,47.9192099348152,48.3006153402206,8.23423906150919,18.6219,13.788616398243,0.336,26.8561390615092,40.6447554597522,40.9807554597522
1938,52.64,484.65,491.4,1.96,537.29,1028.69,1030.65,60.7948051948052,503.0667,505.142140790742,2.352,563.861505194805,1069.00364598555,1071.35564598555,9.4569696969697,18.4167,19.6654773384764,0.443578947368421,27.8736696969697,47.5391470354461,47.9827259828145,8.15480519480519,18.4167,13.7421407907425,0.392,26.5715051948052,40.3136459855477,40.7056459855477
