"year","ME_p_K","NRC_p_K","RC_p_K","IP_p_K","NR_p_K","TOTAL_PRODUCTIVE_p_K","TOTAL_ALL_p_K"
1925,0.851063829787234,0.296296296296296,0.238095238095238,2.23214285714286,0.346487006737247,0.298030867482704,0.300333822372478
1926,0.848429584599797,0.296193984039288,0.238636876551569,2.33928571428571,0.346845088746399,0.297976863884218,0.300304396958067
1927,0.847582205029013,0.296434937611408,0.237670068027211,2.44642857142857,0.347628458498024,0.297263875365141,0.299605104462514
1928,0.848473635522664,0.296200593358216,0.238539144471348,2.05,0.347979184735473,0.297388303329913,0.299673963670238
1929,0.851063829787234,0.296296296296296,0.238095238095238,2.14285714285714,0.348759221998659,0.296950240770465,0.29925187032419
1930,0.793491864831039,0.283975621190811,0.222811059907834,2.2,0.332343256729692,0.280951008126273,0.283368424841188
1931,0.739992787594663,0.272212725546059,0.208517228029423,2.25714285714286,0.316791532064059,0.265875327701719,0.268409760354922
1932,0.69012547735952,0.260314718863942,0.195160031225605,2.31428571428571,0.301341804231978,0.25135738500124,0.254007285138867
1933,0.643617021276596,0.249596578205502,0.181912600431119,1.98214285714286,0.287359150596797,0.237497335915565,0.240209094693991
1934,0.600185013876041,0.239381402679275,0.170282552855167,2.03571428571429,0.274103089112437,0.224893467571997,0.227738140878786
1935,0.559910414333707,0.228992433293509,0.159394301653716,2.08928571428571,0.260894598582173,0.212729748127978,0.215705709107386
1936,0.574094811496827,0.232112221213039,0.162708458910991,2.14285714285714,0.265486403293081,0.216617465822132,0.219704123386843
1937,0.593861796271889,0.234669931639629,0.166079027355623,2.20238095238095,0.269791589955078,0.220419423919125,0.223626172544639
1938,0.61436170212766,0.237284638398845,0.168823768823769,1.93877551020408,0.274228070501964,0.223876969738211,0.227138213748605
1939,0.635614337741997,0.240636116342331,0.172372742200328,1.98979591836735,0.279510253362763,0.228199003214486,0.231586589876672
1940,0.657640232108317,0.243386243386243,0.175983436853002,2.04081632653061,0.284242655475009,0.232327243844321,0.235839708272226
1941,0.634185589129269,0.23279012345679,0.167928858290304,1.91517857142857,0.272724038564161,0.222223246212261,0.225710922267594
1942,0.60556464811784,0.222553897180763,0.160577093290848,2.04910714285714,0.261311692613448,0.212620860785488,0.216134046150956
1943,0.582465670740908,0.212735241041506,0.153875205254516,1.95238095238095,0.250540023452447,0.203711658393789,0.207209996506938
1944,0.559866499791406,0.20338303671637,0.146800121322414,2.0952380952381,0.240235189258349,0.194766090287156,0.198293960354467
1945,0.53832350679313,0.19453797231575,0.14046916701784,2.02142857142857,0.230479585136747,0.186535177654183,0.190051814890107
1946,0.552955082742317,0.199609402245937,0.149453551912568,1.96753246753247,0.236908104061389,0.194095729435368,0.197567906021753
1947,0.568576104746317,0.205025060209594,0.158670033670034,1.93452380952381,0.243777622702954,0.201933309684285,0.205368311737355
