"year","gdp_nominal","gdp_real_2017","gdp_deflator","gnp_nominal","nfia","ME_K_net_cc","NRC_K_net_cc","RC_K_net_cc","IP_K_net_cc","NR_K_net_cc","TOTAL_PRODUCTIVE_K_net_cc","TOTAL_ALL_K_net_cc","ME_K_gross_cc","NRC_K_gross_cc","RC_K_gross_cc","IP_K_gross_cc","NR_K_gross_cc","TOTAL_PRODUCTIVE_K_gross_cc","TOTAL_ALL_K_gross_cc","ME_IG_cc","NRC_IG_cc","RC_IG_cc","IP_IG_cc","NR_IG_cc","TOTAL_PRODUCTIVE_IG_cc","TOTAL_ALL_IG_cc","ME_D_cc","NRC_D_cc","RC_D_cc","IP_D_cc","NR_D_cc","TOTAL_PRODUCTIVE_D_cc","TOTAL_ALL_D_cc","ME_K_net_real","NRC_K_net_real","RC_K_net_real","IP_K_net_real","NR_K_net_real","TOTAL_PRODUCTIVE_K_net_real","TOTAL_ALL_K_net_real","ME_K_gross_real","NRC_K_gross_real","RC_K_gross_real","IP_K_gross_real","NR_K_gross_real","TOTAL_PRODUCTIVE_K_gross_real","TOTAL_ALL_K_gross_real","ME_IG_real","NRC_IG_real","RC_IG_real","IP_IG_real","NR_IG_real","TOTAL_PRODUCTIVE_IG_real","TOTAL_ALL_IG_real","ME_D_real","NRC_D_real","RC_D_real","IP_D_real","NR_D_real","TOTAL_PRODUCTIVE_D_real","TOTAL_ALL_D_real","ME_p_K","NRC_p_K","RC_p_K","IP_p_K","NR_p_K","TOTAL_PRODUCTIVE_p_K","TOTAL_ALL_p_K","yk_ratio_real","iy_ratio_nom","dy_ratio_nom","ik_ratio_nom","dk_ratio_nom","yk_ratio_NR_real"
1935,74.3,1022.01528208585,7.26995,73.7,-0.599999999999994,30,115,80,3.51,145,225,228.51,34.65,119.37,82.24,4.21,154.02,236.26,240.47,2.21,0.1,0.1,0.79,2.31,2.41,3.2,4.65,4.37,2.24,0.7,9.02,11.26,11.96,53.58,502.2,501.9,1.68,555.78,1057.68,1059.36,61.8849,521.2836,515.9532,2.01504273504273,583.1685,1099.1217,1101.13674273504,3.94706,0.436695652173913,0.627375,0.378119658119658,4.38375565217391,5.01113065217391,5.38925031029357,8.3049,19.0836,14.0532,0.335042735042735,27.3885,41.4417,41.7767427350427,0.559910414333707,0.228992433293509,0.159394301653716,2.08928571428571,0.260894598582173,0.212729748127978,0.215705709107386,0.9662802379603,0.0324360699865411,0.151547779273217,0.0107111111111111,0.0500444444444444,1.83888459837679
1936,84.9,1162.90664749766,7.300672,84.3,-0.600000000000009,30.76,115,80.98,3.6,145.76,226.74,230.34,35.53,119.37,83.25,4.32,154.9,238.15,242.47,5.53,4.37,3.25,0.81,9.9,13.15,13.96,4.77,4.37,2.27,0.72,9.14,11.41,12.13,53.58,495.45,497.7,1.68,549.03,1046.73,1048.41,61.8887321196359,514.2771,511.651333662633,2.016,576.165832119636,1087.81716578227,1089.83316578227,9.63255526657997,18.8271,19.9743763892319,0.378,28.45965526658,48.4340316558119,48.8120316558119,8.30873211963589,18.8271,13.9513336626327,0.336,27.1358321196359,41.0871657822686,41.4231657822686,0.574094811496827,0.232112221213039,0.162708458910991,2.14285714285714,0.265486403293081,0.216617465822132,0.219704123386843,1.11099008101197,0.154888103651355,0.134393404004711,0.0579959424891947,0.0503219546617271,2.1181113008354
1937,93,1213.97274800876,7.660798,92.4,-0.599999999999994,31.54,115,81.96,3.7,146.54,228.5,232.2,36.43,119.37,84.25,4.44,155.8,240.05,244.49,5.67,4.37,3.28,0.84,10.04,13.32,14.16,4.89,4.37,2.29,0.74,9.26,11.55,12.29,53.11,490.05,493.5,1.68,543.16,1036.66,1038.34,61.3442390615092,508.6719,507.288616398243,2.016,570.016139061509,1077.30475545975,1079.32075545975,9.547675967026,18.6219,19.7496339677892,0.381405405405405,28.169575967026,47.9192099348152,48.3006153402206,8.23423906150919,18.6219,13.788616398243,0.336,26.8561390615092,40.6447554597522,40.9807554597522,0.593861796271889,0.234669931639629,0.166079027355623,2.20238095238095,0.269791589955078,0.220419423919125,0.223626172544639,1.17104233597203,0.143225806451613,0.124193548387097,0.0582932166301969,0.05054704595186,2.23501868327705
1938,87.4,1165.80758385845,7.496949,86.8,-0.600000000000009,32.34,115,82.96,3.8,147.34,230.3,234.1,37.35,119.37,85.28,4.56,156.72,242,246.56,5.81,4.37,3.32,0.86,10.18,13.5,14.36,5.01,4.37,2.32,0.76,9.38,11.7,12.46,52.64,484.65,491.4,1.96,537.29,1028.69,1030.65,60.7948051948052,503.0667,505.142140790742,2.352,563.861505194805,1069.00364598555,1071.35564598555,9.4569696969697,18.4167,19.6654773384764,0.443578947368421,27.8736696969697,47.5391470354461,47.9827259828145,8.15480519480519,18.4167,13.7421407907425,0.392,26.5715051948052,40.3136459855477,40.7056459855477,0.61436170212766,0.237284638398845,0.168823768823769,1.93877551020408,0.274228070501964,0.223876969738211,0.227138213748605,1.13329339631808,0.154462242562929,0.133867276887872,0.0586191923577942,0.0508033000434216,2.16979207477982
1939,93.5,1266.49216617027,7.382596,92.9,-0.599999999999994,33.16,115,83.98,3.9,148.16,232.14,236.04,38.3,119.37,86.33,4.68,157.67,244,248.68,5.96,4.37,3.36,0.88,10.33,13.69,14.57,5.14,4.37,2.35,0.78,9.51,11.86,12.64,52.17,477.9,487.2,1.96,530.07,1017.27,1019.23,60.2566646562123,496.0602,500.833246010955,2.352,556.316864656212,1057.15011066717,1059.50211066717,9.37675512665863,18.1602,19.492641105025,0.44225641025641,27.5369551266586,47.0295962316836,47.47185264194,8.0866646562123,18.1602,13.633246010955,0.392,26.2468646562123,39.8801106671673,40.2721106671673,0.635614337741997,0.240636116342331,0.172372742200328,1.98979591836735,0.279510253362763,0.228199003214486,0.231586589876672,1.24499116868704,0.146417112299465,0.126844919786096,0.0589730335142586,0.0510898595675024,2.3892922937919
1940,102.9,1379.30960527617,7.460254,102.3,-0.600000000000009,34,115,85,4,149,234,238,39.27,119.37,87.38,4.8,158.64,246.02,250.82,6.11,4.37,3.4,0.9,10.48,13.88,14.78,5.27,4.37,2.38,0.8,9.64,12.02,12.82,51.7,472.5,483,1.96,524.2,1007.2,1009.16,59.7135,490.455,496.524,2.352,550.1685,1046.6925,1049.0445,9.29079411764706,17.955,19.32,0.441,27.2457941176471,46.5657941176471,47.0067941176471,8.0135,17.955,13.524,0.392,25.9685,39.4925,39.8845,0.657640232108317,0.243386243386243,0.175983436853002,2.04081632653061,0.284242655475009,0.232327243844321,0.235839708272226,1.36944956838381,0.13488824101069,0.116812439261419,0.0593162393162393,0.0513675213675214,2.6312659390999
1941,129.4,1621.73495812628,7.979109,128.8,-0.599999999999994,35.47,117.85,87.81,4.29,153.32,241.13,245.42,40.97,122.33,90.27,5.15,163.3,253.57,258.72,6.97,7.33,5.27,1.15,14.3,19.57,20.72,5.5,4.48,2.46,0.86,9.98,12.44,13.3,55.93,506.25,522.9,2.24,562.18,1085.08,1087.32,64.6025401747956,525.494802715316,537.549060471472,2.68904428904429,590.097342890112,1127.64640336158,1130.33544765063,10.9904736396955,31.4875901569792,31.3823368636829,0.6004662004662,42.4780637966747,73.8604006603577,74.4608668608239,8.6725401747956,19.2448027153161,14.6490604714725,0.449044289044289,27.9173428901117,42.5664033615842,43.0154476506285,0.634185589129269,0.23279012345679,0.167928858290304,1.91517857142857,0.272724038564161,0.222223246212261,0.225710922267594,1.49457639816998,0.151236476043277,0.0961360123647604,0.0811595404968274,0.0515904283996185,2.88472545826298
1942,166,1891.30251497661,8.77702,165.5,-0.5,37,120.78,90.71,4.59,157.78,248.49,253.08,42.73,125.37,93.25,5.51,168.1,261.35,266.86,7.26,7.52,5.44,1.23,14.78,20.22,21.45,5.73,4.59,2.54,0.92,10.32,12.86,13.78,61.1,542.7,564.9,2.24,603.8,1168.7,1170.94,70.5622432432432,563.324217585693,580.717947304597,2.68897603485839,633.886460828936,1214.60440813353,1217.29338416839,11.9888108108108,33.7895678092399,33.8778084003969,0.600261437908497,45.7783786200507,79.6561870204476,80.2564484583561,9.46224324324324,20.624217585693,15.8179473045971,0.448976034858388,30.0864608289362,45.9044081335333,46.3533841683917,0.60556464811784,0.222553897180763,0.160577093290848,2.04910714285714,0.261311692613448,0.212620860785488,0.216134046150956,1.61829598269582,0.121807228915663,0.0774698795180723,0.081371483761922,0.0517525856171274,3.13233275087216
1943,198.6,2123.56473595141,9.352199,198.1,-0.5,38.6,123.78,93.71,4.92,162.38,256.09,261.01,44.58,128.48,96.33,5.9,173.06,269.39,275.29,7.58,7.7,5.62,1.31,15.28,20.9,22.21,5.98,4.7,2.62,0.98,10.68,13.3,14.28,66.27,581.85,609,2.52,648.12,1257.12,1259.64,76.5366994818653,603.943189529811,626.026784761498,3.0219512195122,680.479889011676,1306.50667377317,1309.52862499269,13.0136424870466,36.1952253999031,36.5231031906947,0.670975609756097,49.2088678869497,85.7319710776444,86.4029466874005,10.2666994818653,22.093189529811,17.0267847614982,0.501951219512195,32.3598890116762,49.3866737731745,49.8886249926867,0.582465670740908,0.212735241041506,0.153875205254516,1.95238095238095,0.250540023452447,0.203711658393789,0.207209996506938,1.68922993505108,0.105236656596173,0.066968781470292,0.0816119333046976,0.0519348666484439,3.27649931486671
1944,219.8,2290.67808656887,9.595412,219.5,-0.300000000000011,40.26,126.85,96.8,5.28,167.11,263.91,269.19,46.5,131.67,99.51,6.34,178.17,277.68,284.02,7.91,7.89,5.81,1.41,15.8,21.61,23.02,6.24,4.82,2.71,1.06,11.06,13.77,14.83,71.91,623.7,659.4,2.52,695.61,1355.01,1357.53,83.0555141579732,647.399124950729,677.860475206612,3.02590909090909,730.454639108702,1408.31511431531,1411.34102340622,14.1283681073025,38.7937958218368,39.5776239669421,0.672954545454545,52.9221639291394,92.4997878960815,93.172742441536,11.1455141579732,23.6991249507292,18.4604752066116,0.505909090909091,34.8446391087024,53.305114315314,53.8110234062231,0.559866499791406,0.20338303671637,0.146800121322414,2.0952380952381,0.240235189258349,0.194766090287156,0.198293960354467,1.69052485706295,0.0983166515013649,0.0626478616924477,0.0818839755977416,0.0521768784813004,3.29304939056205
1945,228.2,2315.21241668101,9.856547,228,-0.199999999999989,42,130,100,5.66,172,272,277.66,48.51,134.94,102.8,6.79,183.45,286.25,293.04,8.25,8.09,6,1.51,16.34,22.34,23.85,6.51,4.94,2.8,1.13,11.45,14.25,15.38,78.02,668.25,711.9,2.8,746.27,1458.17,1460.97,90.1131,693.6435,731.8332,3.35901060070671,783.7566,1515.5898,1518.94881060071,15.3253571428571,41.5857115384615,42.714,0.746996466431095,56.9110686813187,99.6250686813187,100.37206514775,12.0931,25.3935,19.9332,0.559010600706714,37.4866,57.4198,57.9788106007067,0.53832350679313,0.19453797231575,0.14046916701784,2.02142857142857,0.230479585136747,0.186535177654183,0.190051814890107,1.58775205681163,0.0978965819456617,0.0624452234881683,0.0821323529411765,0.0523897058823529,3.10237905407026
1946,227.8,2086.27049018931,10.919006,228.1,0.299999999999983,46.78,143.09,114.87,6.06,189.87,304.74,310.8,54.03,148.53,118.09,7.27,202.56,320.65,327.92,12.03,18.53,18.09,1.62,30.56,48.65,50.27,7.25,5.44,3.22,1.21,12.69,15.91,17.12,84.6,716.85,768.6,3.08,801.45,1570.05,1573.13,97.7113723813596,744.103225242854,790.145155393053,3.69498349834983,841.814597624214,1631.95975301727,1635.65473651562,21.7558358272766,92.8312984834719,121.040950639854,0.823366336633663,114.587134310749,235.628084950602,236.451451287236,13.1113723813596,27.2532252428541,21.545155393053,0.614983498349835,40.3645976242137,61.9097530172667,62.5247365156166,0.552955082742317,0.199609402245937,0.149453551912568,1.96753246753247,0.236908104061389,0.194095729435368,0.197567906021753,1.328792388898,0.213564530289728,0.0698419666374012,0.159644286933123,0.0522084399816237,2.6031199578131
1947,249.9,2063.67379188787,12.109472,250.5,0.599999999999994,52.11,157.49,131.95,6.5,209.6,341.55,348.05,60.19,163.47,135.64,7.8,223.66,359.3,367.1,13.4,20.38,20.77,1.74,33.78,54.55,56.29,8.08,5.98,3.69,1.3,14.06,17.75,19.05,91.65,768.15,831.6,3.36,859.8,1691.4,1694.76,105.860938399539,797.317166169281,854.855809018568,4.032,903.17810456882,1758.03391358739,1762.06591358739,23.5676453655728,99.4024826973141,130.900583554377,0.899446153846154,122.970128062887,253.870711617264,254.77015777111,14.2109383995394,29.1671661692806,23.2558090185676,0.672,43.37810456882,66.6339135873877,67.3059135873877,0.568576104746317,0.205025060209594,0.158670033670034,1.93452380952381,0.243777622702954,0.201933309684285,0.205368311737355,1.22009802050838,0.21828731492597,0.0710284113645458,0.159713072756551,0.0519689650124433,2.40017886937412
1948,274.8,2122.2789476184,12.948345,275.5,0.699999999999989,58.04,173.34,151.57,6.96,231.38,382.95,389.91,67.04,179.93,155.81,8.35,246.97,402.78,411.13,14.93,22.44,23.86,1.86,37.37,61.23,63.09,9,6.59,4.24,1.39,15.59,19.83,21.22,99.64,822.15,898.8,3.64,921.79,1820.59,1824.23,115.09072363887,853.406308411215,923.942917463878,4.36695402298851,968.497032050085,1892.43994951396,1896.80690353695,25.6310337698139,106.432710280374,141.488210067955,0.972758620689655,132.063744050188,273.551954118143,274.524712738833,15.4507236388697,31.256308411215,25.1429174638781,0.726954022988506,46.7070320500847,71.8499495139628,72.5769035369513,0.582496989160979,0.210837438423645,0.16863595905652,1.91208791208791,0.251011618698402,0.210343899505105,0.213739495567993,1.16570943903811,0.222816593886463,0.0721615720524017,0.159890325107716,0.0517822169996083,2.30234537977023
1949,272.8,2120.24790112557,12.86642,273.6,0.800000000000011,64.64,190.79,174.11,7.46,255.43,429.54,437,74.66,198.04,178.99,8.95,272.7,451.69,460.64,16.63,24.7,27.42,1.99,41.33,68.75,70.74,10.02,7.25,4.88,1.49,17.27,22.15,23.64,108.1,881.55,972.3,3.92,989.65,1961.95,1965.87,124.856837871287,915.048807589496,999.551875251278,4.7029490616622,1039.90564546078,2039.45752071206,2044.16046977372,27.8109993811881,114.126972063525,153.124266268451,1.0456836461126,141.937971444713,295.062237713164,296.107921359277,16.7568378712871,33.4988075894963,27.2518752512779,0.782949061662199,50.2556454607834,77.5075207120614,78.2904697737236,0.597964847363552,0.216425613975384,0.179070245808907,1.9030612244898,0.258101348961754,0.218935242998038,0.222293437511127,1.08068396295806,0.252016129032258,0.0811950146627566,0.160054942496624,0.0515667923825488,2.14242196849954
1950,300.2,2312.80316057418,12.97992,301,0.800000000000011,72,210,200,8,282,482,490,83.16,217.98,205.6,9.6,301.14,506.74,516.34,18.52,27.19,31.49,2.14,45.71,77.2,79.34,11.16,7.98,5.6,1.6,19.14,24.74,26.34,117.5,945,1050,4.2,1062.5,2112.5,2116.7,135.7125,980.91,1079.4,5.04,1116.6225,2196.0225,2201.0625,30.2236111111111,122.355,165.3225,1.1235,152.578611111111,317.901111111111,319.024611111111,18.2125,35.91,29.4,0.84,54.1225,83.5225,84.3625,0.612765957446809,0.222222222222222,0.19047619047619,1.9047619047619,0.265411764705882,0.228165680473373,0.231492417442245,1.09481806417713,0.257161892071952,0.0824117255163224,0.160165975103734,0.0513278008298755,2.17675591583452
1951,347.3,2494.14489969272,13.924612,348.3,1,76.89,227.01,223.69,8.77,303.9,527.59,536.36,88.81,235.64,229.95,10.52,324.45,554.4,564.92,16.81,25.64,29.95,2.52,42.45,72.4,74.92,11.92,8.63,6.26,1.75,20.55,26.81,28.56,124.55,997.65,1113,4.76,1122.2,2235.2,2239.96,143.858570685395,1035.57660895996,1144.14748088873,5.70982896237172,1179.43517964535,2323.58266053408,2329.29248949645,27.2296202367018,112.681141799921,149.020295945281,1.36775370581528,139.910762036622,288.931057981904,290.298811687719,19.3085706853947,37.9266089599577,31.1474808887299,0.949828962371722,57.2351796453524,88.3826605340824,89.3324894964541,0.617342432757929,0.227544730115772,0.200979335130279,1.84243697478992,0.270807342719658,0.236037043664996,0.239450704476866,1.11584864875301,0.208465303771955,0.0771955082061618,0.137227771565041,0.0508159745256733,2.22254936704039
1952,367.7,2600.64301022201,14.138811,368.7,1,82.11,245.4,250.18,9.61,327.51,577.69,587.3,94.84,254.73,257.18,11.53,349.57,606.75,618.28,17.95,27.72,33.49,2.76,45.67,79.16,81.92,12.73,9.33,7,1.92,22.06,29.06,30.98,132.07,1053,1180.2,5.32,1185.07,2365.27,2370.59,152.545594933626,1093.03459657702,1213.22182428651,6.38289281997919,1245.58019151064,2458.80201579716,2465.18490861714,28.8717147728657,118.945232273839,157.985842193621,1.52790842872008,147.816947046704,305.802789240325,307.330697669045,20.4755949336256,40.0345965770171,33.0218242865137,1.06289281997919,60.5101915106427,93.5320157971564,94.5949086171356,0.621715756795639,0.233048433048433,0.211981020166074,1.80639097744361,0.276363421570034,0.244238501312747,0.247744232448462,1.09951211076199,0.215284199075333,0.0790318194180038,0.137028510100573,0.0503037961536464,2.19450581840905
1953,389.7,2720.7719312405,14.323141,390.9,1.19999999999999,87.69,265.28,279.8,10.53,352.97,632.77,643.3,101.28,275.36,287.63,12.64,376.64,664.27,676.91,19.17,29.96,37.46,3.03,49.13,86.59,89.62,13.59,10.08,7.83,2.11,23.67,31.5,33.61,140.06,1111.05,1251.6,6.16,1251.11,2502.71,2508.87,161.766185425932,1153.26721954162,1286.62511794139,7.39433998100665,1315.03340496755,2601.65852290894,2609.05286288994,30.6186589120766,125.478958082027,167.565889921372,1.77253561253561,156.097616994103,323.663506915476,325.436042528011,21.7061854259323,42.2172195416164,35.0251179413867,1.23433998100665,63.9234049675487,98.9485229089354,100.182862889942,0.626088819077538,0.238765132082264,0.22355385107063,1.70941558441558,0.282125472580349,0.252833928022024,0.256410256410256,1.08713032322582,0.222196561457531,0.0808314087759815,0.136842770674969,0.0497811211024543,2.17468642344838
