"year","gdp_nominal","gdp_real_2017","gdp_deflator","gnp_nominal","nfia","ME_K_net_cc","NRC_K_net_cc","RC_K_net_cc","IP_K_net_cc","NR_K_net_cc","TOTAL_PRODUCTIVE_K_net_cc","TOTAL_ALL_K_net_cc","ME_K_gross_cc","NRC_K_gross_cc","RC_K_gross_cc","IP_K_gross_cc","NR_K_gross_cc","TOTAL_PRODUCTIVE_K_gross_cc","TOTAL_ALL_K_gross_cc","ME_IG_cc","NRC_IG_cc","RC_IG_cc","IP_IG_cc","NR_IG_cc","TOTAL_PRODUCTIVE_IG_cc","TOTAL_ALL_IG_cc","ME_D_cc","NRC_D_cc","RC_D_cc","IP_D_cc","NR_D_cc","TOTAL_PRODUCTIVE_D_cc","TOTAL_ALL_D_cc","ME_K_net_real","NRC_K_net_real","RC_K_net_real","IP_K_net_real","NR_K_net_real","TOTAL_PRODUCTIVE_K_net_real","TOTAL_ALL_K_net_real","ME_K_gross_real","NRC_K_gross_real","RC_K_gross_real","IP_K_gross_real","NR_K_gross_real","TOTAL_PRODUCTIVE_K_gross_real","TOTAL_ALL_K_gross_real","ME_IG_real","NRC_IG_real","RC_IG_real","IP_IG_real","NR_IG_real","TOTAL_PRODUCTIVE_IG_real","TOTAL_ALL_IG_real","ME_D_real","NRC_D_real","RC_D_real","IP_D_real","NR_D_real","TOTAL_PRODUCTIVE_D_real","TOTAL_ALL_D_real","ME_p_K","NRC_p_K","RC_p_K","IP_p_K","NR_p_K","TOTAL_PRODUCTIVE_p_K","TOTAL_ALL_p_K","yk_ratio_real","iy_ratio_nom","dy_ratio_nom","ik_ratio_nom","dk_ratio_nom","yk_ratio_NR_real"
1925,93.1,1075.89260950761,8.65328,93.5,0.400000000000006,40,140,100,2.5,180,280,282.5,46.2,145.32,102.8,3,191.52,294.32,297.32,8.06,6.92,3.64,0.65,14.98,18.62,19.27,6.2,5.32,2.8,0.5,11.52,14.32,14.82,47,472.5,420,1.12,519.5,939.5,940.62,54.285,490.455,431.76,1.344,544.74,976.5,977.844,9.4705,23.355,15.288,0.2912,32.8255,48.1135,48.4047,7.285,17.955,11.76,0.224,25.24,37,37.224,0.851063829787234,0.296296296296296,0.238095238095238,2.23214285714286,0.346487006737247,0.298030867482704,0.300333822372478,1.14517574189208,0.2,0.153813104189044,0.0665,0.0511428571428571,2.07101561021677
1926,97,1114.3683088358,8.704483,97.4,0.400000000000006,41.87,144.75,105.74,2.62,186.62,292.36,294.98,48.36,150.25,108.7,3.14,198.61,307.31,310.45,8.36,10.25,8.7,0.64,18.61,27.31,27.95,6.49,5.5,2.96,0.52,11.99,14.95,15.47,49.35,488.7,443.1,1.12,538.05,981.15,982.27,56.9994267972295,507.268911917098,455.503782863628,1.34229007633588,564.268338714328,1019.77212157796,1021.11441165429,9.85349892524481,34.6056994818653,36.4570644978248,0.273587786259542,44.4591984071101,80.9162629049349,81.1898506911945,7.64942679722952,18.5689119170984,12.4037828636278,0.222290076335878,26.218338714328,38.6221215779557,38.8444116542916,0.848429584599797,0.296193984039288,0.238636876551569,2.33928571428571,0.346845088746399,0.297976863884218,0.300304396958067,1.13577771883586,0.281546391752577,0.154123711340206,0.0934122314954166,0.0511355862635107,2.07112407552421
1927,95.5,1121.32120052053,8.516739,96,0.5,43.82,149.67,111.8,2.74,193.49,305.29,308.03,50.61,155.36,114.93,3.29,205.97,320.9,324.19,8.74,10.6,9.2,0.67,19.34,28.54,29.21,6.79,5.69,3.13,0.55,12.48,15.61,16.16,51.7,504.9,470.4,1.12,556.6,1027,1028.12,59.7110223642173,524.094768490679,483.569516994633,1.34481751824818,583.805790854897,1067.37530784953,1068.72012536778,10.3116841624829,35.758268190018,38.7091234347048,0.273868613138686,46.0699523525009,84.7790757872058,85.0529444003444,8.01102236421725,19.1947684906795,13.1695169946333,0.224817518248175,27.2057908548968,40.37530784953,40.6001253677782,0.847582205029013,0.296434937611408,0.237670068027211,2.44642857142857,0.347628458498024,0.297263875365141,0.299605104462514,1.09184148054579,0.298848167539267,0.163455497382199,0.0934848832257853,0.0511317108323234,2.01459073036387
1928,97.4,1130.04248101175,8.619145,98,0.599999999999994,45.86,154.75,118.22,2.87,200.61,318.83,321.7,52.97,160.63,121.53,3.44,213.6,335.13,338.57,9.15,10.96,9.72,0.7,20.11,29.83,30.53,7.11,5.88,3.31,0.57,12.99,16.3,16.87,54.05,522.45,495.6,1.4,576.5,1072.1,1073.5,62.4297535979067,542.301411954766,509.47612925055,1.67804878048781,604.731165552672,1114.20729480322,1115.88534358371,10.7840710859137,37.0019515347334,40.7480290982913,0.341463414634146,47.7860226206471,88.5340517189384,88.8755151335726,8.37975359790667,19.8514119547658,13.8761292505498,0.278048780487805,28.2311655526724,42.1072948032222,42.3853435837101,0.848473635522664,0.296200593358216,0.238539144471348,2.05,0.347979184735473,0.297388303329913,0.299673963670238,1.05404578025534,0.306262833675565,0.16735112936345,0.0935608317912367,0.0511244236740583,1.96017776411405
1929,104.6,1163.68859915589,8.988659,104.4,-0.199999999999989,48,160,125,3,208,333,336,55.44,166.08,128.5,3.6,221.52,350.02,353.62,8.93,7.3,4.2,0.72,16.23,20.43,21.15,7.44,6.08,3.5,0.6,13.52,17.02,17.62,56.4,540,525,1.4,596.4,1121.4,1122.8,65.142,560.52,539.7,1.68,625.662,1165.362,1167.042,10.49275,24.6375,17.64,0.336,35.13025,52.77025,53.10625,8.742,20.52,14.7,0.28,29.262,43.962,44.242,0.851063829787234,0.296296296296296,0.238095238095238,2.14285714285714,0.348759221998659,0.296950240770465,0.29925187032419,1.0377105396432,0.195315487571702,0.162715105162524,0.0613513513513513,0.0511111111111111,1.95118812735729
1930,92.2,1067.59769213632,8.636212,91.8,-0.400000000000006,44.38,151.43,116.04,3.08,195.81,311.85,314.93,51.26,157.18,119.29,3.7,208.44,327.73,331.43,3.26,0.1,0.1,0.7,3.36,3.46,4.16,6.88,5.75,3.25,0.62,12.63,15.88,16.5,55.93,533.25,520.8,1.4,589.18,1109.98,1111.38,64.6005362776025,553.498216997953,535.386349534643,1.68181818181818,618.098753275555,1153.4851028102,1155.16692099202,4.10842271293375,0.352142904312224,0.448810754912099,0.318181818181818,4.46056561724598,4.90937637215808,5.2275581903399,8.67053627760252,20.2482169979529,14.5863495346432,0.281818181818182,28.9187532755554,43.5051028101986,43.7869209920168,0.793491864831039,0.283975621190811,0.222811059907834,2.2,0.332343256729692,0.280951008126273,0.283368424841188,0.961817052682319,0.037527114967462,0.172234273318872,0.0110950777617444,0.0509219175885843,1.81200599500377
1931,77.4,996.244390333186,7.769178,76.9,-0.5,41.04,143.32,107.72,3.16,184.36,292.08,295.24,47.4,148.77,110.74,3.79,196.17,306.91,310.7,3.02,0.1,0.1,0.71,3.12,3.22,3.93,6.36,5.45,3.02,0.63,11.81,14.83,15.46,55.46,526.5,516.6,1.4,581.96,1098.56,1099.96,64.0546783625731,546.521106614569,531.083215744523,1.67911392405063,610.575784977142,1141.65900072166,1143.33811464572,4.0811208576998,0.367359754395758,0.479576680282213,0.314556962025316,4.44848061209556,4.92805729237778,5.24261425440309,8.5946783625731,20.0211066145688,14.4832157445228,0.279113924050633,28.6157849771419,43.0990007216647,43.3781146457154,0.739992787594663,0.272212725546059,0.208517228029423,2.25714285714286,0.316791532064059,0.265875327701719,0.268409760354922,0.906863885753337,0.0416020671834625,0.191602067183463,0.0110243768830457,0.0507737606135305,1.71187777567734
1932,59.5,861.412110701446,6.907263,59,-0.5,37.95,135.65,100,3.24,173.6,273.6,276.84,43.83,140.8,102.8,3.89,184.63,287.43,291.32,2.79,0.1,0.1,0.73,2.89,2.99,3.72,5.88,5.15,2.8,0.65,11.03,13.83,14.48,54.99,521.1,512.4,1.4,576.09,1088.49,1089.89,63.5101897233202,540.88374493181,526.7472,1.68086419753086,604.39393465513,1131.14113465513,1132.82199885266,4.04274308300395,0.384150387025433,0.5124,0.315432098765432,4.42689347002939,4.93929347002939,5.25472556879482,8.52018972332016,19.7837449318098,14.3472,0.280864197530864,28.30393465513,42.65113465513,42.9319988526608,0.69012547735952,0.260314718863942,0.195160031225605,2.31428571428571,0.301341804231978,0.25135738500124,0.254007285138867,0.791382659189745,0.0502521008403361,0.232436974789916,0.0109283625730994,0.0505482456140351,1.49527350015006
1933,57.2,851.792308017629,6.715252,56.7,-0.5,35.09,128.38,92.83,3.33,163.47,256.3,259.63,40.53,133.26,95.43,4,173.79,269.22,273.22,2.58,0.1,0.1,0.76,2.68,2.78,3.54,5.44,4.88,2.6,0.67,10.32,12.92,13.59,54.52,514.35,510.3,1.68,568.87,1079.17,1080.85,62.9722314049587,533.901550085683,524.592577830443,2.01801801801802,596.873781490642,1121.46635932108,1123.4843773391,4.00859504132231,0.400646518149244,0.549714531940106,0.383423423423423,4.40924155947156,4.95895609141166,5.34237951483509,8.45223140495868,19.5515500856831,14.2925778304427,0.338018018018018,28.0037814906418,42.2963593210846,42.6343773391026,0.643617021276596,0.249596578205502,0.181912600431119,1.98214285714286,0.287359150596797,0.237497335915565,0.240209094693991,0.789303175604983,0.0486013986013986,0.225874125874126,0.0108466640655482,0.0504096761607491,1.49734088283374
1934,66.8,934.091980093214,7.15133,66.2,-0.599999999999994,32.44,121.51,86.18,3.42,153.95,240.13,243.55,37.47,126.13,88.59,4.1,163.6,252.19,256.29,2.39,0.1,0.1,0.77,2.49,2.59,3.36,5.03,4.62,2.41,0.68,9.65,12.06,12.74,54.05,507.6,506.1,1.68,561.65,1067.75,1069.43,62.4307490752158,526.899744876965,520.252947319564,2.0140350877193,589.330493952181,1109.58344127174,1111.59747635946,3.98210542540074,0.4177433956053,0.587259224878162,0.378245614035088,4.39984882100604,4.9871080458842,5.36535365991929,8.38074907521578,19.2997448769649,14.1529473195637,0.334035087719298,27.6804939521806,41.8334412717443,42.1674763594636,0.600185013876041,0.239381402679275,0.170282552855167,2.03571428571429,0.274103089112437,0.224893467571997,0.227738140878786,0.874822739492591,0.0387724550898204,0.180538922155689,0.0107858243451464,0.0502227959855078,1.66312112542191
