"year","KNC","KNR","KGC","KGR","IG_cc","IG_R","DEP","pK","z","rho","Ret_R","sfc_max_resid","account"
1925,97064,1696791.81474,11146.602435701,194855.598111128,7140,124815.519216636,7140,5.72044249369939,0.0735597131789335,0.0311663274684674,2253.11330172822,3.72529029846191e-09,"NF_corp"
1926,99885,1749821.83662,18191.6907159521,318688.668566956,7262,127218.362892671,4441,5.70829543383345,0.0458506789127792,0.0173733393839272,3385.29243684274,3.72529029846191e-09,"NF_corp"
1927,101334,1793563.1604,24577.8191497019,435015.601771162,6842,121100.115888614,5393,5.64987072868962,0.0545504173057406,0.0149775726443972,4773.1826844078,3.72529029846191e-09,"NF_corp"
1928,103575,1837304.48418,31159.1685034455,552728.747426509,7007,124296.33136036,4766,5.63733452412631,0.0471371755412551,0.0151332174713024,6583.18570501249,3.72529029846191e-09,"NF_corp"
1929,102600,1891178.93316,37276.6700960332,687103.83220247,7769,143202.428184406,8744,5.4251873369044,0.0877231614031146,0.0159704800040612,8827.34340844485,3.72529029846191e-09,"NF_corp"
1930,97578,1924280.47548,40701.7668551413,802656.493030062,6446,127117.915359447,11468,5.07088240219554,0.119583572566569,0.0168318876854209,11565.2545318543,3.72529029846191e-09,"NF_corp"
1931,87862,1918200.60036,40270.747872706,879189.783369044,4175,91148.4772313742,13891,4.58043856223955,0.157600675883979,0.0182085201070508,14615.1868923928,3.72529029846191e-09,"NF_corp"
1932,82123,1890165.62064,39981.5838385271,920227.16206568,2552,58737.5359384494,8291,4.34475154469234,0.099482787637869,0.0201323509174393,17700.157241813,3.72529029846191e-09,"NF_corp"
1933,82685,1859597.35962,42380.3574425612,953140.240671688,2380,53526.5370489883,1818,4.44639263291363,0.021631478751722,0.0224004020884456,20613.4584429804,3.72529029846191e-09,"NF_corp"
1934,83912,1840682.19258,45340.6524292709,994586.370561041,2956,64842.4130191925,1729,4.55874459688146,0.020395333481987,0.0245465275008763,23396.2831298394,3.72529029846191e-09,"NF_corp"
