"year","gdp_nominal","gdp_real_2017","gdp_deflator","gnp_nominal","nfia"
1929,104.6,1163.68859915589,8.988659,104.4,-0.199999999999989
1930,92.2,1067.59769213632,8.636212,91.8,-0.400000000000006
1931,77.4,996.244390333186,7.769178,76.9,-0.5
1932,59.5,861.412110701446,6.907263,59,-0.5
1933,57.2,851.792308017629,6.715252,56.7,-0.5
1934,66.8,934.091980093214,7.15133,66.2,-0.599999999999994
1935,74.3,1022.01528208585,7.26995,73.7,-0.599999999999994
1936,84.9,1162.90664749766,7.300672,84.3,-0.600000000000009
1937,93,1213.97274800876,7.660798,92.4,-0.599999999999994
1938,87.4,1165.80758385845,7.496949,86.8,-0.600000000000009
1939,93.5,1266.49216617027,7.382596,92.9,-0.599999999999994
1940,102.9,1379.30960527617,7.460254,102.3,-0.600000000000009
1941,129.4,1621.73495812628,7.979109,128.8,-0.599999999999994
1942,166,1891.30251497661,8.77702,165.5,-0.5
1943,198.6,2123.56473595141,9.352199,198.1,-0.5
1944,219.8,2290.67808656887,9.595412,219.5,-0.300000000000011
1945,228.2,2315.21241668101,9.856547,228,-0.199999999999989
1946,227.8,2086.27049018931,10.919006,228.1,0.299999999999983
1947,249.9,2063.67379188787,12.109472,250.5,0.599999999999994
1948,274.8,2122.2789476184,12.948345,275.5,0.699999999999989
1949,272.8,2120.24790112557,12.86642,273.6,0.800000000000011
1950,300.2,2312.80316057418,12.97992,301,0.800000000000011
1951,347.3,2494.14489969272,13.924612,348.3,1
1952,367.7,2600.64301022201,14.138811,368.7,1
1953,389.7,2720.7719312405,14.323141,390.9,1.19999999999999
1954,391.1,2703.48568545459,14.466509,392.6,1.5
1955,426.2,2907.52408838,14.65852,428,1.80000000000001
1956,450.1,2984.22359466009,15.08265,452.3,2.19999999999999
1957,474.9,3045.93629830549,15.591265,477.5,2.60000000000002
1958,482,3018.45030882441,15.968459,484.8,2.80000000000001
1959,522.5,3220.78244856642,16.222766,525.3,2.79999999999995
1960,543.3,3296.4550639417,16.481341,546.4,3.10000000000002
1961,563.3,3381.21395605214,16.659697,566.4,3.10000000000002
1962,605.1,3585.6496505636,16.875603,608.7,3.60000000000002
1963,638.6,3739.71950464001,17.076147,642.4,3.79999999999995
1964,685.8,3956.41642130885,17.333868,690,4.20000000000005
1965,743.7,4208.60153948686,17.670953,748.6,4.89999999999998
1966,815,4477.79981026216,18.200903,820.4,5.39999999999998
1967,861.7,4594.57011070317,18.754747,867.8,6.09999999999991
1968,942.5,4819.89571126447,19.554365,949.4,6.89999999999998
1969,1019.9,4977.00835877794,20.49223,1028,8.10000000000002
1970,1075.9,4979.85701298003,21.605038,1085.6,9.69999999999982
1971,1167.8,5141.03123592495,22.715287,1178.7,10.9000000000001
1972,1282.4,5412.11956901567,23.694968,1295,12.5999999999999
1973,1428.5,5715.21939921102,24.994666,1444.4,15.9000000000001
1974,1548.8,5700.77686703663,27.168227,1567.8,19
1975,1688.9,5713.74518895483,29.558546,1712.1,23.1999999999998
1976,1877.6,6017.53269814007,31.202157,1903.7,26.1000000000001
1977,2086,6289.61424282241,33.165786,2114.1,28.0999999999999
1978,2356.6,6672.83832006666,35.316306,2389.1,32.5
1979,2632.1,6884.64529756049,38.231454,2668.3,36.2000000000003
1980,2862.5,6868.51123645248,41.675698,2904,41.5
1981,3211,7051.10633527301,45.538953,3260.7,49.6999999999998
1982,3345,6925.63991152904,48.298786,3394.4,49.4000000000001
1983,3638.1,7235.50908869717,50.281189,3693.1,55
1984,4040.7,7741.4983664628,52.195322,4103.9,63.1999999999998
1985,4346.7,8064.96068204107,53.896109,4415.3,68.6000000000004
1986,4590.2,8338.64391581643,55.04732,4659.4,69.1999999999998
1987,4870.2,8618.94616455657,56.505748,4945.3,75.1000000000004
1988,5252.6,8981.67079801408,58.481324,5341.6,89
1989,5657.7,9318.51324576332,60.714621,5743.6,85.9000000000005
1990,5979.6,9497.86525963905,62.957305,6062.9,83.2999999999993
1991,6174,9507.28005264083,64.939709,6259.5,85.5
1992,6539.3,9842.67420068065,66.438245,6628.3,89
1993,6878.7,10130.2385182457,67.902646,6955.2,76.5
1994,7308.8,10556.0245244434,69.238187,7387.7,78.8999999999996
1995,7664.1,10860.2322500648,70.570314,7757.5,93.3999999999996
1996,8100.2,11297.7235091313,71.69763,8210.4,110.2
1997,8608.5,11829.6838835278,72.77033,8710,101.5
1998,9089.2,12370.1413813852,73.476929,9186.2,97
1999,9660.6,12972.2775609771,74.471117,9743.2,82.6000000000004
2000,10252.3,13543.6368375033,75.698279,10359.5,107.200000000001
2001,10581.9,13722.404391823,77.114037,10691.5,109.6
2002,10936.4,13983.1125825063,78.211485,11050.6,114.200000000001
2003,11458.2,14408.1740830143,79.525691,11583.6,125.4
2004,12213.7,15012.3099909451,81.357899,12383.9,170.199999999999
2005,13036.6,15641.4906887981,83.346276,13251.8,215.199999999999
2006,13814.6,16188.086378849,85.338067,14043.3,228.699999999999
2007,14451.9,16538.4542320403,87.38362,14715.5,263.6
2008,14712.8,16539.8141717118,88.953841,15010.8,298
2009,14448.9,16116.8212937778,89.651053,14642.6,193.700000000001
2010,14992.1,16537.133271771,90.657188,15261.1,269
2011,15542.6,16810.9414908153,92.455262,15864.3,321.699999999999
2012,16197,17247.0004945695,93.911982,16508.5,311.5
2013,16785,17650.3381882612,95.097328,17101.5,316.5
2014,17527.3,18151.3941201281,96.561729,17878,350.700000000001
2015,18224.8,18705.769478919,97.428764,18561.3,336.5
2016,18715,19031.2096381245,98.338468,19018.7,303.700000000001
2017,19543,19543,100,19882.9,339.900000000001
2018,20612.4,20188.4090888389,102.10017,20969.1,356.699999999997
2019,21433.2,20650.5714276685,103.789864,21795.6,362.399999999998
2020,21060.5,20038.4096555972,105.100656,21362.4,301.900000000001
2021,23315.1,21290.3700530784,109.510074,23637.9,322.800000000003
2022,25462.7,21865.663075608,116.450619,25843.5,380.799999999999
2023,27360.9,22812.9499854364,119.935826,27820.8,459.899999999998
